roman,target,freq,freq_lang,category,status,notes
slakomnhan,ស្លាកំញាន,1,km,unclassified,approved,
slaksnam,ស្លាកស្នាម,1,km,unclassified,approved,
slan,ស្លន់,83,km,unclassified,approved,
slang,ស្លង់,9,km,unclassified,approved,
slang,ស្លាំង,120,km,unclassified,approved,
slanh,ស្រលាញ់,3786,km,unclassified,approved,
slanh,ស្រឡាញ់,1228,km,unclassified,approved,
slao,ស្លោ,38,km,unclassified,approved,
slaok,ស្លោក,56,km,unclassified,approved,
slaom,ស្លោម,1,km,unclassified,approved,
slar,ស្ល,33,km,unclassified,approved,
slarb,ស្លាប,846,km,unclassified,approved,
slark,ស្លាក,597,km,unclassified,approved,
slarksnam,ស្លាកស្នាម,1,km,unclassified,approved,
slasngab,ស្លាស្ងាប,1,km,unclassified,approved,
slat,ស្លត,1,km,unclassified,approved,
slat,ស្លាត,1,km,unclassified,approved,
slataaon,ស្លាតាឱន,1,km,unclassified,approved,
slathor,ស្លាធម៌,1,km,unclassified,approved,
slatruoy,ស្លាត្រួយ,1,km,unclassified,approved,
slau,ស្លៅ,1,km,unclassified,approved,
slav,ស្លៅ,1,km,unclassified,approved,
slay,ស្លាយ,6,km,unclassified,approved,
sleak,ស្លៀក,1551,km,unclassified,approved,
sleh,ស្លេះ,1,km,unclassified,approved,
slek,ស្លេក,140,km,unclassified,approved,
sleng,សំឡេង,559,km,unclassified,approved,
slerk,សន្លឹក,2059,km,unclassified,approved,
slerng,សម្លឹង,502,km,unclassified,approved,
slertslak,ស្លើតស្លក់,1,km,unclassified,approved,
slertslok,ស្លើតស្លក់,1,km,unclassified,approved,
slesmar,ស្លេស្ម,16,km,unclassified,approved,
slesmor,ស្លេស្ម,16,km,unclassified,approved,
slet,ស្លែត,1,km,unclassified,approved,
sleu,ស្លឺ,1,km,unclassified,approved,
sleub,ស្លឹប,1,km,unclassified,approved,
sleuk,សន្លឹក,2059,km,unclassified,approved,
sleung,ស្លឹង,1,km,unclassified,approved,
sleut,ស្លឺត,1,km,unclassified,approved,
sleutslak,ស្លឺតស្លក់,1,km,unclassified,approved,
sleutslok,ស្លឺតស្លក់,1,km,unclassified,approved,
slev,ស្លេវ,1,km,unclassified,approved,
slev,ស្លែវ,1,km,unclassified,approved,
sliek,ស្លៀក,1551,km,unclassified,approved,
slob,សន្លប់,470,km,unclassified,approved,
slob,ស្លប,1,km,unclassified,approved,
slob,ស្លុប,2,km,unclassified,approved,
sloeb,ស្លឹប,1,km,unclassified,approved,
sloek,ស្លឹក,240,km,unclassified,approved,
sloekaruet,ស្លឹករឹត,1,km,unclassified,approved,
sloekkrei,ស្លឹកគ្រៃ,1,km,unclassified,approved,
sloekkrey,ស្លឹកគ្រៃ,1,km,unclassified,approved,
sloekoruet,ស្លឹករឹត,1,km,unclassified,approved,
sloekpouthi,ស្លឹកពោធិ៍,1,km,unclassified,approved,
sloeng,ស្លឹង,1,km,unclassified,approved,
sloh,ស្លុះ,1,km,unclassified,approved,
slok,ស្លក់,10,km,unclassified,approved,
slok,ស្លុក,1,km,unclassified,approved,
slon,ស្លន់,83,km,unclassified,approved,
slong,ស្លង់,9,km,unclassified,approved,
slong,ស្លុង,28,km,unclassified,approved,
slop,សន្លប់,470,km,unclassified,approved,
slor,ស្ល,33,km,unclassified,approved,
slorb,សន្លប់,470,km,unclassified,approved,
slot,ស្លត,1,km,unclassified,approved,
slot,ស្លុត,171,km,unclassified,approved,
slotei,ស្លុតី,1,km,unclassified,approved,
slotey,ស្លុតី,1,km,unclassified,approved,
slounh,ស្លូញ,1,km,unclassified,approved,
slout,ស្លូត,74,km,unclassified,approved,
sloutbot,ស្លូតបូត,1,km,unclassified,approved,
sloutbout,ស្លូតបូត,1,km,unclassified,approved,
slovakia,ស្លូវ៉ាគី,1,km,places,approved,
slovenia,ស្លូវេនី,1,km,places,approved,
sloy,ស្លុយ,10,km,unclassified,approved,
sma,ស្មា,165,km,unclassified,approved,
smach,ស្មាច់,20,km,unclassified,approved,
smachdaom,ស្មាច់ដោម,1,km,unclassified,approved,
smachik,ស្មាជិក,1,km,unclassified,approved,
smae,ស្មែ,1,km,unclassified,approved,
smaek,ស្មែក,1,km,unclassified,approved,
smaeng,ស្មែង,1,km,unclassified,approved,
smaeupheap,ស្មើភាព,9,km,unclassified,approved,
smagom,ស្មាគម,1,km,unclassified,approved,
smai,សម័យ,1594,km,unclassified,approved,
smajerk,សមាជិក,3108,km,unclassified,approved,
smak,ស្ម័គ្រ,278,km,unclassified,approved,
smakdei,ស្មាក្ដី,1,km,unclassified,approved,
sman,ស្មន្ធ,1,km,unclassified,approved,
sman,ស្មាន,1184,km,unclassified,approved,
smanh,សាមញ្ញ,449,km,unclassified,approved,
smanh,ស្មាញ,161,km,unclassified,approved,
smann,ស្មាន់,1,km,unclassified,approved,
smaok,ស្មោក,5,km,unclassified,approved,
smaokkrok,ស្មោកគ្រោក,1,km,unclassified,approved,
smaokkrouk,ស្មោកគ្រោក,1,km,unclassified,approved,
smaokkrouk,ស្ម៊ោកគ្រោក,1,km,unclassified,approved,
smaong,ស្មោង,1,km,unclassified,approved,
smaonh,ស្មោញ,1,km,unclassified,approved,
smapheap,ស្មាភាព,1,km,unclassified,approved,
smarodei,ស្មារតី,3,km,unclassified,approved,
smarodey,ស្មារតី,3,km,unclassified,approved,
smarolea,ស្មារលា,1,km,unclassified,approved,
smarti,ស្មារ្តី,1,km,unclassified,approved,
smasan,ស្មសាន,1,km,unclassified,approved,
smat,ស្មត់,1,km,unclassified,approved,
smatean,ស្មាទាន,1,km,unclassified,approved,
smathi,ស្មាធិ,1,km,unclassified,approved,
smathi,ស្មាធិ៍,1,km,unclassified,approved,
smau,ស្មៅ,184,km,unclassified,approved,
smausroubpisapos,ស្មៅស្រូបពិសពស់,1,km,unclassified,approved,
smausroubpisopos,ស្មៅស្រូបពិសពស់,1,km,unclassified,approved,
smav,ស្មៅ,184,km,unclassified,approved,
smavsroubpisapos,ស្មៅស្រូបពិសពស់,1,km,unclassified,approved,
smavsroubpisopos,ស្មៅស្រូបពិសពស់,1,km,unclassified,approved,
sme,ស្មេ,1,km,unclassified,approved,
sme,ស្មេរ,84,km,unclassified,approved,
smeb,ស្មិប,1,km,unclassified,approved,
smei,ស្មី,261,km,unclassified,approved,
smel,ស្មិល,1,km,unclassified,approved,
smeng,ស្មិង,1,km,unclassified,approved,
smenh,ស្មិញ,1,km,unclassified,approved,
smenh,ស្មេញ,1,km,unclassified,approved,
smer,ស្មើ,1612,km,unclassified,approved,
smerk,ស្មឿក,1,km,unclassified,approved,
smerpheap,ស្មើភាព,9,km,unclassified,approved,
smet,ស្មិត,1,km,unclassified,approved,
smeu,ស្មឺ,1,km,unclassified,approved,
smeub,ស្មឺប,1,km,unclassified,approved,
smien,ស្មៀន,1,km,unclassified,approved,
smo,ស្មូរ,1,km,unclassified,approved,
smoam,ស្មុំ,1,km,unclassified,approved,
smochon,ស្មូរជន,1,km,unclassified,approved,
smoeak,ស្មឿក,1,km,unclassified,approved,
smoeb,ស្មឹប,1,km,unclassified,approved,
smoem,ស្មឹម,1,km,unclassified,approved,
smoeng,ស្មឹង,3,km,unclassified,approved,
smoh,ស្មោះ,362,km,unclassified,approved,
smok,ស្មុគ,145,km,unclassified,approved,
smom,ស្មុំ,1,km,unclassified,approved,
smon,ស្មន់,9,km,unclassified,approved,
smon,ស្មន្ធ,1,km,unclassified,approved,
smong,ស្មង,8,km,unclassified,approved,
smor,ស្មរ,1,km,unclassified,approved,
smorh,ស្មោះ,362,km,unclassified,approved,
smorng,ស្មង,8,km,unclassified,approved,
smors,ស្មោះ,362,km,unclassified,approved,
smos,ស្មោះ,362,km,unclassified,approved,
smosan,ស្មសាន,1,km,unclassified,approved,
smosgnea,ស្មោះងារ,1,km,unclassified,approved,
smossor,ស្មោះសរ,1,km,unclassified,approved,
smottrud,ស្មុតទ្រុឌ,1,km,unclassified,approved,
smoum,ស្មូម,1,km,unclassified,approved,
smoun,ស្មូន,5,km,unclassified,approved,
smounchhnang,ស្មូនឆ្នាំង,1,km,unclassified,approved,
smounh,ស្មូញ,1,km,unclassified,approved,
smout,ស្មូត,1,km,unclassified,approved,
smov,ស្មៅ,184,km,unclassified,approved,
smovsroubpisapos,ស្មៅស្រូបពិសពស់,1,km,unclassified,approved,
smovsroubpisopos,ស្មៅស្រូបពិសពស់,1,km,unclassified,approved,
smoy,ស្មុយ,1,km,unclassified,approved,
sna,ស្នា,694,km,unclassified,approved,
snab,ស្នប,1,km,unclassified,approved,
snab,ស្នប់,2,km,unclassified,approved,
snab,ស្នាប,1,km,unclassified,approved,
snab,ស្នាប់,1,km,unclassified,approved,
snabak,ស្នាបក,1,km,unclassified,approved,
snabamukh,ស្នាប់មុខ,1,km,unclassified,approved,
snabok,ស្នាបក,1,km,unclassified,approved,
snabomukh,ស្នាប់មុខ,1,km,unclassified,approved,
snach,ស្នាច,1,km,unclassified,approved,
snadai,ស្នាដៃ,3,km,unclassified,approved,
snae,ស្នេហ៍,2536,km,unclassified,approved,
snaeha,ស្នេហា,1816,km,unclassified,approved,
snaeng,ស្នែង,24,km,unclassified,approved,
snaengpopae,ស្នែងពពែ,1,km,unclassified,approved,
snaengtonsaong,ស្នែងទន្សោង,1,km,unclassified,approved,
snaeusoam,ស្នើសុំ,2,km,unclassified,approved,
snal,ស្នល,1,km,unclassified,approved,
snal,ស្នាល,388,km,unclassified,approved,
snam,ស្នាម,1310,km,unclassified,approved,
snam,ស្នំ,3,km,unclassified,approved,
snamphluoh,ស្នាមភ្លោះ,1,km,unclassified,approved,
snan,ស្នាន,1,km,unclassified,approved,
snang,សំណាង,1352,km,unclassified,approved,
snaniy,ស្នានីយ,1,km,unclassified,approved,
snao,ស្នោ,10,km,unclassified,approved,
snaotok,ស្នោទក,1,km,unclassified,approved,
snar,ស្ន,3,km,unclassified,approved,
