roman,target,freq,freq_lang,category,status,notes
yeam,យាម,124,km,unclassified,approved,
yeama,យាមៈ,1,km,unclassified,approved,
yeamea,យាមា,1,km,unclassified,approved,
yeameak,យាមៈ,1,km,unclassified,approved,
yeamik,យាមិក,1,km,unclassified,approved,
yeamkalik,យាមកាលិក,1,km,unclassified,approved,
yeamneali,យាមនាលី,1,km,unclassified,approved,
yeamokhous,យាមឃោស,1,km,unclassified,approved,
yeamovotei,យាមវតី,1,km,unclassified,approved,
yeamovotey,យាមវតី,1,km,unclassified,approved,
yean,យាន,823,km,unclassified,approved,
yeanmeas,យានមាស,1,km,unclassified,approved,
yeanbatrar,យានបាត្រ,1,km,unclassified,approved,
yeanbatror,យានបាត្រ,1,km,unclassified,approved,
yeang,យាង,73,km,unclassified,approved,
yeang,យាំង,5,km,unclassified,approved,
yeangochoh,យាងចុះ,1,km,unclassified,approved,
yeangyeas,យាងយាស,1,km,unclassified,approved,
yeangyeav,យាងយាវ,1,km,unclassified,approved,
yeanomeas,យានមាស,1,km,unclassified,approved,
yeanouv,យាណូវ,1,km,unclassified,approved,
yeanubkaron,យានូបករណ៍,1,km,unclassified,approved,
yeanubkoron,យានូបករណ៍,1,km,unclassified,approved,
year,យារ,43,km,unclassified,approved,
yeas,យាស,1,km,unclassified,approved,
yoas,យាស់,1,km,unclassified,approved,
yeatra,យាត្រា,6,km,unclassified,approved,
yeav,យាវ,2,km,unclassified,approved,
yeavchivik,យាវជីវិក,1,km,unclassified,approved,
yeavchivum,យាវជីវំ,1,km,unclassified,approved,
yeavkalik,យាវកាលិក,1,km,unclassified,approved,
yeay,យាយ,546,km,unclassified,approved,
yeayi,យាយី,44,km,unclassified,approved,
yeeakyo,យ៉េៈយ៉ុ,1,km,unclassified,approved,
yekayouk,យេកយោក,1,km,unclassified,approved,
yekoyouk,យេកយោក,1,km,unclassified,approved,
yektephong,យតិភង្គ,1,km,unclassified,approved,
yemen,យេម៉ែន,1,km,places,approved,
yer,យ៉ើ,1,km,unclassified,approved,
yerh,យ៉ើះ,1,km,unclassified,approved,
yerng,យើង,16360,km,unclassified,approved,
yerr,យ៉ើរ,1,km,unclassified,approved,
yers,យ៉ើះ,1,km,unclassified,approved,
yesu,យេស៊ូ,4,km,unclassified,approved,
yey,និយាយ,9116,km,unclassified,approved,
yey,យៃ,1,km,unclassified,approved,
yg,យើង,16360,km,unclassified,approved,
yg,យ៉ាង,28036,km,unclassified,approved,
yi,យី,1,km,unclassified,approved,
yiaaeu,យីអើ,1,km,unclassified,approved,
yiaeu,យីអើ,1,km,unclassified,approved,
yieah,យីះ,1,km,unclassified,approved,
yihao,យីហោ,1,km,unclassified,approved,
yihub,យីហ៊ុប,1,km,unclassified,approved,
yihun,យីហ៊ុន,1,km,unclassified,approved,
yikayouk,យីកយោក,1,km,unclassified,approved,
yike,យីកេ,1,km,unclassified,approved,
yikoyouk,យីកយោក,1,km,unclassified,approved,
yisun,យីស៊ុន,1,km,unclassified,approved,
yitathao,យិតថោ,1,km,unclassified,approved,
yithao,យីថោ,1,km,unclassified,approved,
yitothao,យិតថោ,1,km,unclassified,approved,
yk,យក,13125,km,unclassified,approved,
yoantor,យ័ន្ត,5,km,unclassified,approved,
yoar,យ័រ,1,km,unclassified,approved,
yobol,យោបល់,414,km,unclassified,approved,
yodthe,យដ្ឋិ,1,km,unclassified,approved,
yok,យក,13125,km,unclassified,approved,
yok,យក់,43,km,unclassified,approved,
yok,យក៍,1,km,unclassified,approved,
yokachett,យកចិត្ត,18,km,unclassified,approved,
yokachey,យកជ័យ,10,km,unclassified,approved,
yokakaron,យកការណ៍,5,km,unclassified,approved,
yokaneak,យកនៈ,1,km,unclassified,approved,
yokk,យុក,1,km,unclassified,approved,
yokkhar,យក្ខ,1,km,unclassified,approved,
yokkheni,យក្ខិនី,1,km,unclassified,approved,
yokkhor,យក្ខ,1,km,unclassified,approved,
yokochett,យកចិត្ត,18,km,unclassified,approved,
yokochey,យកជ័យ,10,km,unclassified,approved,
yokokaron,យកការណ៍,5,km,unclassified,approved,
yokoneak,យកនៈ,1,km,unclassified,approved,
yokroet,យក្រឹត,1,km,unclassified,approved,
yoksa,យក្សា,1,km,unclassified,approved,
yoksei,យក្សី,1,km,unclassified,approved,
yoksey,យក្សី,1,km,unclassified,approved,
yol,យល់,2368,km,unclassified,approved,
yol,យោល,22,km,unclassified,approved,
yolosabnar,យល់សប្ន,1,km,unclassified,approved,
yolosabtar,យល់សប្ត,1,km,unclassified,approved,
yolosobnor,យល់សប្ន,1,km,unclassified,approved,
yolosobtor,យល់សប្ត,1,km,unclassified,approved,
yolosoung,យល់សូង,1,km,unclassified,approved,
yom,យំ,262,km,unclassified,approved,
yomareach,យោមរាជ,1,km,unclassified,approved,
yomeak,យមៈ,1,km,unclassified,approved,
yomobal,យមបាល,1,km,unclassified,approved,
yomok,យមក,1,km,unclassified,approved,
yomolouk,យមលោក,1,km,unclassified,approved,
yomoreach,យមរាជ,1,km,unclassified,approved,
yomoreach,យោមរាជ,1,km,unclassified,approved,
yomotut,យមទូត,1,km,unclassified,approved,
yomunea,យមុនា,1,km,unclassified,approved,
yon,យន់,12,km,unclassified,approved,
yong,យង់,6,km,unclassified,approved,
yong,យោង,3790,km,unclassified,approved,
yong,យ៉ង,29,km,unclassified,approved,
yongokhnong,យង់ឃ្នង,1,km,unclassified,approved,
yongoyol,យង់យល់,1,km,unclassified,approved,
yonh,យញ្ញ,1,km,unclassified,approved,
yonhnh,យញ្ញ,1,km,unclassified,approved,
yontohaoh,យន្តហោះ,1,km,unclassified,approved,
yontokar,យន្តការ,3,km,unclassified,approved,
yor,យក,13125,km,unclassified,approved,
yor,យ៉,5,km,unclassified,approved,
york,យក,13125,km,unclassified,approved,
yors,យាស់,1,km,unclassified,approved,
yos,យស,61,km,unclassified,approved,
yos,យ៉ស,1,km,unclassified,approved,
yosa,យោសា,1,km,unclassified,approved,
yosao,យោសោ,1,km,unclassified,approved,
yosaothorea,យសោធរា,1,km,unclassified,approved,
yote,យតិ,1,km,unclassified,approved,
yotephongkor,យតិភង្គ,1,km,unclassified,approved,
yothaheto,យថាហេតុ,1,km,unclassified,approved,
yothakam,យថាកាម,1,km,unclassified,approved,
yothakamm,យថាកម្ម,1,km,unclassified,approved,
yothakram,យថាក្រម,1,km,unclassified,approved,
yothaleaph,យថាលាភ,1,km,unclassified,approved,
yothanukram,យថានុក្រម,1,km,unclassified,approved,
yothanurub,យថានុរូប,1,km,unclassified,approved,
yothaphasok,យថាផាសុក,1,km,unclassified,approved,
yothapheap,យថាភាព,1,km,unclassified,approved,
yothaphut,យថាភូត,1,km,unclassified,approved,
yothathan,យថាឋាន,1,km,unclassified,approved,
yothea,យោធា,401,km,unclassified,approved,
you,យោ,126,km,unclassified,approved,
youbal,យោបល់,414,km,unclassified,approved,
youbam,យោបំ,1,km,unclassified,approved,
youbol,យោបល់,414,km,unclassified,approved,
youchn,យោជន៍,1,km,unclassified,approved,
youchon,យោជន៍,1,km,unclassified,approved,
youchonea,យោជនា,1,km,unclassified,approved,
youk,យោក,1,km,unclassified,approved,
youk,យោគ,99,km,unclassified,approved,
youkbat,យោក្ប័ត្រ,1,km,unclassified,approved,
youkbatr,យោក្ប័ត្រ,1,km,unclassified,approved,
youkeavochar,យោគាវចរ,1,km,unclassified,approved,
youkeavochor,យោគាវចរ,1,km,unclassified,approved,
youkin,យោគិន,1,km,unclassified,approved,
youkyopheap,យោគ្យភាព,1,km,unclassified,approved,
youl,យោល,22,km,unclassified,approved,
youmareach,យោមរាជ,1,km,unclassified,approved,
youmoreach,យោមរាជ,1,km,unclassified,approved,
youn,យួន,5,km,unclassified,approved,
youn,យោន,1,km,unclassified,approved,
youni,យោនី,2,km,unclassified,approved,
younisaomnosekar,យោនិសោមនសិការ,1,km,unclassified,approved,
younoyean,យោនយាន,1,km,unclassified,approved,
younyokakamnaeut,យោនយកកំណើត,1,km,unclassified,approved,
younyokokamnaeut,យោនយកកំណើត,1,km,unclassified,approved,
youpvoneak,យោព្វនៈ,1,km,unclassified,approved,
your,យួរ,68,km,unclassified,approved,
yourodai,យួរដៃ,2,km,unclassified,approved,
yousa,យោសា,1,km,unclassified,approved,
yousao,យោសោ,1,km,unclassified,approved,
youth,យោធ,32,km,unclassified,approved,
youthea,យោធា,401,km,unclassified,approved,
youthin,យោធិន,10,km,unclassified,approved,
yov,យៅ,25,km,unclassified,approved,
yovv,យៅវ៍,1,km,unclassified,approved,
yovvoan,យៅវ័ន,1,km,unclassified,approved,
yovvorn,យៅវ័ន,1,km,unclassified,approved,
yr,យក,13125,km,unclassified,approved,
yu,យូរ,2760,km,unclassified,approved,
yub,យប់,3374,km,unclassified,approved,
yubbonman,យូរប៉ុន្មាន,13,km,unclassified,approved,
yubbunman,យូរប៉ុន្មាន,13,km,unclassified,approved,
