roman,target,freq,freq_lang,category,status,notes
Maldives,ម៉ាល់ឌីវ,1,km,unclassified,approved,
maldives,ម៉ាល់ឌីវ,1,km,unclassified,approved,
Mali,ម៉ាលី,1,km,unclassified,approved,
mali,ម៉ាលី,1,km,unclassified,approved,
Malta,ម៉ាល់តា,1,km,unclassified,approved,
malta,ម៉ាល់តា,1,km,unclassified,approved,
man,មែន,6694,km,unclassified,approved,
mang,ហ្មង,129,km,unclassified,approved,
mano,មនោ,1,km,unclassified,approved,
manosanhchettana,មនោសញ្ចេតនា,1,km,unclassified,approved,
manout,ហ្មនួត,1,km,unclassified,approved,
manuot,ហ្មនួត,1,km,unclassified,approved,
maom,ម្អម,2,km,unclassified,approved,
maomkdam,ម្អមក្ដាម,1,km,unclassified,approved,
maomokdam,ម្អមក្ដាម,1,km,unclassified,approved,
maong,ម៉ោង,4724,km,unclassified,approved,
maongjeang,ម៉ោងជាង,1,km,unclassified,approved,
marn,ប៉ុន្មាន,4338,km,unclassified,approved,
mat,ហ្មត់,58,km,unclassified,approved,
matchort,ហ្មត់ចត់,1,km,unclassified,approved,
matchot,ហ្មត់ចត់,1,km,unclassified,approved,
mate,មតិ,393,km,unclassified,approved,
matek,មតិ,393,km,unclassified,approved,
mau,មើ,172,km,unclassified,approved,
mauk,មើកៗ,1,km,unclassified,approved,
maulbamnam,មើលបំណាំ,1,km,unclassified,approved,
maulbomnam,មើលបំណាំ,1,km,unclassified,approved,
maulongeay,មើលងាយ,22,km,unclassified,approved,
maum,មើម,109,km,unclassified,approved,
Mauritania,ម៉ូរីតានី,1,km,unclassified,approved,
mauritania,ម៉ូរីតានី,1,km,unclassified,approved,
Mauritius,ម៉ូរីស,1,km,unclassified,approved,
mauritius,ម៉ូរីស,1,km,unclassified,approved,
may,មៃៗ,1,km,unclassified,approved,
mbel,អំបិល,233,km,unclassified,approved,
mbeus,អំបឹះ,1,km,unclassified,approved,
mbo,អំបូរ,6,km,unclassified,approved,
mbok,អំបុក,108,km,unclassified,approved,
mbong,អំបូង,5,km,unclassified,approved,
mboung,អំបូង,5,km,unclassified,approved,
mchas,ម្ចាស់,4337,km,unclassified,approved,
mchasphaendei,ម្ចាស់ផែនដី,1,km,unclassified,approved,
mcheak,ម្ចាក់,1,km,unclassified,approved,
mchean,ម្ចាន,1,km,unclassified,approved,
mcheasachivit,ម្ចាស់ជីវិត,1,km,unclassified,approved,
mcheasaphaenodey,ម្ចាស់ផែនដី,1,km,unclassified,rejected,
mcheasochivit,ម្ចាស់ជីវិត,1,km,unclassified,approved,
mchot,ម្ចត់,1,km,unclassified,approved,
mchul,ម្ជុល,33,km,unclassified,approved,
mchur,ម្ជូរ,8,km,unclassified,approved,
mday,ម្ដាយ,1147,km,unclassified,approved,
mdea,ម្ដា,4,km,unclassified,approved,
mdech,ម្ដេច,29,km,unclassified,approved,
mdg,ម្ដង,3715,km,unclassified,approved,
mdong,ម្ដង,3715,km,unclassified,approved,
mdorng,ម្ដង,3715,km,unclassified,approved,
mduum,ម្ដុំ,40,km,unclassified,approved,
me,មី,4963,km,unclassified,rejected,
me,មេ,1572,km,unclassified,approved,
me,ហ្មេ,1,km,unclassified,approved,
mea,មា,503,km,unclassified,approved,
mea,មារ,41,km,unclassified,approved,
meaambau,មេអំបៅ,1,km,unclassified,approved,
mead,មាឌ,119,km,unclassified,approved,
meada,មាតា,132,km,unclassified,approved,
meadabetobdthan,មាតាបិតុបដ្ឋាន,1,km,unclassified,approved,
meadabetokun,មាតាបិតុគុណ,1,km,unclassified,approved,
meadamhayyoka,មាតាមហយ្យកា,1,km,unclassified,approved,
meadamhayyokak,មាតាមហយ្យកៈ,1,km,unclassified,approved,
meadamhoyyoka,មាតាមហយ្យកា,1,km,unclassified,approved,
meadamhoyyokak,មាតាមហយ្យកៈ,1,km,unclassified,approved,
meadamohak,មាតាមហៈ,1,km,unclassified,approved,
meadamohei,មាតាមហី,1,km,unclassified,approved,
meagaktheak,មគធៈ,1,km,unclassified,approved,
meagase,មាគសិរ,1,km,unclassified,approved,
meagea,មាគ៌ា,5,km,unclassified,approved,
meageaktheak,មគធៈ,1,km,unclassified,approved,
meagh,មាឃ,1,km,unclassified,approved,
meaghbouchea,មាឃបូជា,1,km,unclassified,approved,
meagheakvea,មឃវា,1,km,unclassified,approved,
meagheakvoat,មឃវ័ត,1,km,unclassified,approved,
meaghnoksat,មាឃនក្សត្រ,1,km,unclassified,approved,
meagose,មាគសិរ,1,km,unclassified,approved,
meagotheak,មាគធៈ,1,km,unclassified,approved,
meagothi,មាគធី,1,km,unclassified,approved,
meagr,មាគ៌,1,km,unclassified,approved,
meakabat,មាក់បាត,1,km,unclassified,approved,
meakabrang,មាក់ប្រាង,1,km,unclassified,approved,
meakabreng,មាក់ប្រិង,1,km,unclassified,approved,
meakabreng,មាក់ប្រេង,1,km,unclassified,approved,
meakadaok,មាក់ដោក,1,km,unclassified,approved,
meakakloea,មាក់ក្លឿ,1,km,unclassified,approved,
meakangeay,មាក់ងាយ,3,km,unclassified,approved,
meakara,មករា,285,km,unclassified,approved,
meakarak,មករ,6,km,unclassified,approved,
meakasan,មាក់សាន់,1,km,unclassified,approved,
meakasang,មាក់សាង,1,km,unclassified,approved,
meakathaok,មាក់ថោក,1,km,unclassified,approved,
meakea,មារគា,1,km,unclassified,approved,
meakgakthopeak,មគធពាក្យ,1,km,unclassified,approved,
meakgakthopheasa,មគធភាសា,1,km,unclassified,approved,
meakgakthoroth,មគធរដ្ឋ,1,km,unclassified,approved,
meakgakthorotha,មគធរដ្ឋ,1,km,unclassified,approved,
