roman,target,freq,freq_lang,category,status,notes
amput,អំពុត,1,km,unclassified,approved,
amraek,អម្រែក,1,km,unclassified,approved,
amram,អម្រាម,1,km,unclassified,approved,
amrit,អម្រឹត,66,km,unclassified,approved,
amror,អម្រ,1,km,unclassified,approved,
amros,អម្រស់,1,km,unclassified,approved,
amruet,អម្រឹត,66,km,unclassified,approved,
amul,អមូល,1,km,unclassified,approved,
amulakae,អមូលកែ,1,km,unclassified,approved,
amulkae,អមូលកែ,1,km,unclassified,approved,
anabat,អនាបត្តិ,1,km,unclassified,approved,
anabbatte,អនាបត្តិ,1,km,unclassified,approved,
anacha,អនាចារ,1,km,unclassified,approved,
anachar,អនាចារ,1,km,unclassified,approved,
anaek,អនេក,3,km,unclassified,approved,
anagagh,អនគ្ឃ,1,km,unclassified,approved,
anagagh,អនគ្ឃា,1,km,unclassified,approved,
anagea,អនាគារ,1,km,unclassified,approved,
anageami,អនាគាមិ,1,km,unclassified,approved,
anageami,អនាគាមី,1,km,unclassified,approved,
anagear,អនាគារ,1,km,unclassified,approved,
anageariy,អនាគារិយ,1,km,unclassified,approved,
anageariya,អនាគារិយ,1,km,unclassified,approved,
anageariyeak,អនាគារិយ,1,km,unclassified,approved,
anagom,អនាគម,1,km,unclassified,approved,
anagot,អនាគត,656,km,unclassified,approved,
anagut,អនាគត,656,km,unclassified,approved,
anakol,អនាកុល,1,km,unclassified,approved,
analai,អនាល័យ,1,km,unclassified,approved,
analey,អនាល័យ,1,km,unclassified,approved,
anamarub,អនាមរូប,1,km,unclassified,approved,
anamay,អនាមយ,1,km,unclassified,approved,
anamaya,អនាមយ,1,km,unclassified,approved,
anameakroub,អនាមរូប,1,km,unclassified,approved,
anameakyeak,អនាមយ,1,km,unclassified,approved,
anamik,អនាមិក,26,km,unclassified,approved,
anamorub,អនាមរូប,1,km,unclassified,approved,
ananhnh,អនញ្ញ,1,km,unclassified,approved,
ananikom,អាណានិគម,24,km,unclassified,approved,
ananikum,អាណានិគម,24,km,unclassified,approved,
anarey,អនរិយ,1,km,unclassified,approved,
anariy,អនរិយ,1,km,unclassified,approved,
anarya,អនាយ៌,1,km,unclassified,approved,
anasava,អនាសវ,1,km,unclassified,approved,
anasava,អនាសវៈ,1,km,unclassified,approved,
anasaveak,អនាសវៈ,1,km,unclassified,approved,
anaschar,អនស្ចារ្យ,1,km,unclassified,approved,
