roman,target,freq,freq_lang,category,status,notes
kongsey,កុង្សីយ៍,1,km,unclassified,approved,
kongseysenabatei,កុង្សីយ៍សេនាបតី,1,km,unclassified,approved,
kongseysenabodey,កុង្សីយ៍សេនាបតី,1,km,unclassified,approved,
konhchor,កុញ្ជរ,1,km,unclassified,approved,
konhjor,កុញ្ជរ,1,km,unclassified,approved,
konhchorreathibtei,កុញ្ជរាធិបតី,1,km,unclassified,approved,
konhjorreathibdey,កុញ្ជរាធិបតី,1,km,unclassified,approved,
kode,កុដិ,9,km,unclassified,approved,
kodekphot,កុដិកភត្ត,1,km,unclassified,approved,
kodompikak,កុដុម្ពិកៈ,1,km,unclassified,approved,
kondak,កុណ្ឌក,1,km,unclassified,approved,
kondok,កុណ្ឌក,1,km,unclassified,approved,
kondal,កុណ្ឌល,1,km,unclassified,approved,
kondol,កុណ្ឌល,1,km,unclassified,approved,
kondei,កុណ្ឌី,1,km,unclassified,approved,
kotidthe,កុទិដ្ឋិ,1,km,unclassified,approved,
kon,កុន,271,km,unclassified,approved,
kob,កុប,1,km,unclassified,approved,
kub,កុប,1,km,unclassified,approved,
kobkamm,កុបកម្ម,6,km,unclassified,approved,
kobkomm,កុបកម្ម,6,km,unclassified,approved,
kobakar,កុបករ,1,km,unclassified,approved,
kobokor,កុបករ,1,km,unclassified,approved,
kombei,កុំបី,2,km,unclassified,approved,
kombey,កុំបី,2,km,unclassified,approved,
koma,កុមារ,1197,km,unclassified,approved,
komarathan,កុមារដ្ឋាន,1,km,unclassified,approved,
komarothan,កុមារដ្ឋាន,1,km,unclassified,approved,
komarapheap,កុមារភាព,14,km,unclassified,approved,
komaropheap,កុមារភាព,14,km,unclassified,approved,
komaranukrus,កុមារានុគ្រោះ,1,km,unclassified,approved,
komaranoukrus,កុមារានុគ្រោះ,1,km,unclassified,approved,
komarei,កុមារី,214,km,unclassified,approved,
komarey,កុមារី,214,km,unclassified,approved,
komut,កុមុទ,1,km,unclassified,approved,
kompheak,កុម្ភៈ,487,km,unclassified,approved,
kumpheak,កុម្ភៈ,487,km,unclassified,approved,
komphokar,កុម្ភការ,1,km,unclassified,approved,
kompohkarothan,កុម្ភការដ្ឋាន,1,km,unclassified,approved,
komphondar,កុម្ភណ្ឌ,1,km,unclassified,approved,
komphondor,កុម្ភណ្ឌ,1,km,unclassified,approved,
koy,កុយ,58,km,unclassified,approved,
kol,កុរ,9,km,unclassified,approved,
kolthida,កុលធីតា,1,km,unclassified,approved,
kolbalipouth,កុលបលិពោធ,1,km,unclassified,approved,
kolbolipouth,កុលបលិពោធ,1,km,unclassified,approved,
kolbot,កុលបុត្រ,1,km,unclassified,approved,
kolboth,កុលបុត្រ,1,km,unclassified,approved,
kolpirouth,កុលពិរោធ,1,km,unclassified,approved,
kolmochchhariyeak,កុលមច្ឆរិយៈ,1,km,unclassified,approved,
kolmochchhoriyeak,កុលមច្ឆរិយៈ,1,km,unclassified,approved,
kolvek,កុលវគ្គ,1,km,unclassified,approved,
kolvumsak,កុលវំសៈ,1,km,unclassified,approved,
kolvibat,កុលវិបត្តិ,1,km,unclassified,approved,
kolsambat,កុលសម្បត្តិ,1,km,unclassified,approved,
kolsombat,កុលសម្បត្តិ,1,km,unclassified,approved,
kolsampoanth,កុលសម្ព័ន្ធ,1,km,unclassified,approved,
kolsompoanth,កុលសម្ព័ន្ធ,1,km,unclassified,approved,
kolab,កុលាប,20,km,unclassified,approved,
koleachpheach,កុលាលភាជន៍,1,km,unclassified,approved,
kosal,កុសល,84,km,unclassified,approved,
kosol,កុសល,84,km,unclassified,approved,
koslokam,កុសលកម្ម,1,km,unclassified,approved,
koslokom,កុសលកម្ម,1,km,unclassified,approved,
kosloubay,កុសលោបាយ,1,km,unclassified,approved,
kosenearea,កុសិនារា,1,km,unclassified,approved,
koseitbokkol,កុសីតបុគ្គល,1,km,unclassified,approved,
kosom,កុសុម,1,km,unclassified,approved,
kohok,កុហក,108,km,unclassified,approved,
kola,កុឡា,1,km,unclassified,approved,
komoy,កុំឲ្យ,2,km,unclassified,approved,
kouk,កូ៎ក,1,km,unclassified,approved,
kouk,កូ៎កៗ,1,km,unclassified,approved,
koudkam,កូដកម្ម,6,km,unclassified,approved,
koudkom,កូដកម្ម,6,km,unclassified,approved,
koudaobay,កូដោបាយ,1,km,unclassified,approved,
koud,កូត,21,km,unclassified,approved,
konkandor,កូនកណ្ដុរ,1,km,unclassified,approved,
konkondol,កូនកណ្ដុរ,1,km,unclassified,approved,
konkamprea,កូនកំព្រា,1,km,unclassified,approved,
konkomprea,កូនកំព្រា,1,km,unclassified,approved,
konkrak,កូនក្រក,1,km,unclassified,approved,
konkrok,កូនក្រក,1,km,unclassified,approved,
konkranh,កូនក្រាញ់,1,km,unclassified,approved,
konkrab,កូនក្រាប់,1,km,unclassified,approved,
konkoul,កូនគោល,1,km,unclassified,approved,
konkli,កូនគ្លី,1,km,unclassified,approved,
konchab,កូនចាប,1,km,unclassified,approved,
konchonhching,កូនជញ្ជីង,1,km,unclassified,approved,
konjonjing,កូនជញ្ជីង,1,km,unclassified,approved,
kontoeng,កូនតឹង,1,km,unclassified,approved,
kontoul,កូនទោល,1,km,unclassified,approved,
konbandaet,កូនបណ្ដែត,1,km,unclassified,approved,
konbondaet,កូនបណ្ដែត,1,km,unclassified,approved,
konbrayoul,កូនប្រយោល,1,km,unclassified,approved,
konbroyoul,កូនប្រយោល,1,km,unclassified,approved,
konpov,កូនពៅ,4,km,unclassified,approved,
konlong,កូនលង,1,km,unclassified,approved,
konlork,កូនលោក,1,km,unclassified,approved,
konsangkot,កូនសង្កត់,1,km,unclassified,approved,
konsongkot,កូនសង្កត់,1,km,unclassified,approved,
konsar,កូនសរ,1,km,unclassified,approved,
konsor,កូនសរ,1,km,unclassified,approved,
konsngaeun,កូនស្ងើន,1,km,unclassified,approved,
kour,កូរ,103,km,unclassified,approved,
kouv,កូវ,7,km,unclassified,approved,
kouvkae,កូវកែ,1,km,unclassified,approved,
kuoch,កួច,2,km,unclassified,approved,
kuochchett,កួចចិត្ត,4,km,unclassified,approved,
kouchjit,កួចចិត្ត,4,km,unclassified,approved,
kuot,កួត,14,km,unclassified,approved,
kuon,កួន,36,km,unclassified,approved,
kuoy,កួយ,1,km,unclassified,approved,
kuor,កួរ,24,km,unclassified,approved,
kaeu,កើ,54,km,unclassified,approved,
ker,កើ,54,km,unclassified,approved,
kaeung,កើង,1,km,unclassified,approved,
kerng,កើង,1,km,unclassified,approved,
kaeuch,កើច,1,km,unclassified,approved,
kerch,កើច,1,km,unclassified,approved,
kert,កើត,5286,km,unclassified,approved,
kaeutkdei,កើតក្ដី,1,km,unclassified,approved,
kertkdey,កើតក្ដី,1,km,unclassified,approved,
kaeutmok,កើតមក,2,km,unclassified,approved,
kertmok,កើតមក,2,km,unclassified,approved,
kern,កើន,2451,km,unclassified,approved,
kernlerng,កើនឡើង,16,km,unclassified,approved,
kaeub,កើប,33,km,unclassified,approved,
kerb,កើប,33,km,unclassified,approved,
kaeuy,កើយ,42,km,unclassified,approved,
kery,កើយ,42,km,unclassified,approved,
kaeul,កើល,1,km,unclassified,approved,
kerl,កើល,1,km,unclassified,approved,
kaeulbraeus,កើលប្រើស,1,km,unclassified,approved,
kerlbrus,កើលប្រើស,1,km,unclassified,approved,
koeang,កឿង,1,km,unclassified,approved,
kiek,កៀក,200,km,unclassified,approved,
kieng,កៀង,11,km,unclassified,approved,
kiech,កៀច,1,km,unclassified,approved,
kiet,កៀត,1,km,unclassified,approved,
kien,កៀន,51,km,unclassified,approved,
kiensvay,កៀនស្វាយ,1,km,unclassified,approved,
kieb,កៀប,42,km,unclassified,approved,
kier,កៀរ,33,km,unclassified,approved,
kierkor,កៀរគរ,1,km,unclassified,approved,
kiev,កៀវ,1,km,unclassified,approved,
kies,កៀស,1,km,unclassified,approved,
keh,កេះ,19,km,unclassified,approved,
kes,កេះ,19,km,unclassified,approved,
kek,កេកៗ,1,km,unclassified,approved,
keng,កេង,232,km,unclassified,approved,
kengkang,កេងកង,2,km,unclassified,approved,
kengkong,កេងកង,2,km,unclassified,approved,
kengkang,កេងកាង,1,km,unclassified,approved,
kend,កេណ្ឌ,1,km,unclassified,approved,
ketnophon,កេតនភណ្ឌ,1,km,unclassified,approved,
ketnaphon,កេតនភណ្ឌ,1,km,unclassified,approved,
keto,កេតុ,14,km,unclassified,approved,
ketomealea,កេតុមាលា,1,km,unclassified,approved,
ke,កេរ,14,km,unclassified,approved,
kekal,កេរកាល,1,km,unclassified,approved,
keradekchon,កេរាដិកជន,1,km,unclassified,approved,
keradekjon,កេរាដិកជន,1,km,unclassified,approved,
ke,កេរ្តិ៍,450,km,unclassified,approved,
kel,កេល,1,km,unclassified,approved,
kev,កេវ,1,km,unclassified,approved,
kes,កេស,173,km,unclassified,approved,
kesar,កេសរ,6,km,unclassified,approved,
kesor,កេសរ,6,km,unclassified,approved,
kesorseihak,កេសរសីហៈ,1,km,unclassified,approved,
kesorseyhak,កេសរសីហៈ,1,km,unclassified,approved,
kae,កែ,1917,km,unclassified,approved,
kaeah,កែះ,1,km,unclassified,approved,
kaek,កែក,5,km,unclassified,approved,
kaekun,កែកុន,8,km,unclassified,approved,
kaekroy,កែក្រាយ,1,km,unclassified,approved,
kaekhai,កែខៃ,1,km,unclassified,approved,
kaeng,កែង,524,km,unclassified,approved,
kaengkaong,កែងកោង,1,km,unclassified,approved,
kaengdai,កែងដៃ,3,km,unclassified,approved,
kaechet,កែចិត្ត,2,km,unclassified,approved,
kaejit,កែចិត្ត,2,km,unclassified,approved,
kaechnai,កែច្នៃ,15,km,unclassified,approved,
kaedomrov,កែតម្រូវ,7,km,unclassified,approved,
kaetomrong,កែទម្រង់,17,km,unclassified,approved,
kaen,កែន,12,km,unclassified,approved,
kaeb,កែប,165,km,unclassified,approved,
kep,កែប,165,km,unclassified,approved,
kaebrae,កែប្រែ,8,km,unclassified,approved,
kaem,កែម,6,km,unclassified,approved,
kaelumor,កែលំអ,10,km,unclassified,approved,
kao,កែវ,1330,km,unclassified,approved,
kaev,កែវ,1330,km,unclassified,approved,
kaevkalyan,កែវកល្យាណ,10,km,unclassified,approved,
kaevkolyan,កែវកល្យាណ,10,km,unclassified,approved,
kaevpongrik,កែវពង្រីក,1,km,unclassified,approved,
kaes,កែស,3,km,unclassified,approved,
kaesomruol,កែសម្រួល,78,km,unclassified,approved,
kaeauok,កែអួក,1,km,unclassified,approved,
kai,កៃ,41,km,unclassified,approved,
kaileas,កៃលាស,1,km,unclassified,approved,
koh,កោះ,1460,km,unclassified,approved,
kos,កោះ,1460,km,unclassified,approved,
kaok,កោកៗ,1,km,unclassified,approved,
kohkong,កោះកុង,1,km,unclassified,approved,
koskong,កោះកុង,1,km,unclassified,approved,
kaong,កោង,248,km,unclassified,approved,
kohnhaek,កោះញែក,8,km,unclassified,approved,
kosnhaek,កោះញែក,8,km,unclassified,approved,
kaonhchoneat,កោញ្ចនាទ,1,km,unclassified,approved,
kaode,កោដិ,1,km,unclassified,approved,
kaodth,កោដ្ឋ,22,km,unclassified,approved,
kaon,កោណ,70,km,unclassified,approved,
kort,កោត,557,km,unclassified,approved,
kosthom,កោះធំ,1,km,unclassified,approved,
kohthom,កោះធំ,1,km,unclassified,approved,
kaon,កោន,22,km,unclassified,approved,
kaob,កោប,1,km,unclassified,approved,
kaomol,កោមល,1,km,unclassified,approved,
kaoy,កោយ,7,km,unclassified,approved,
kaor,កោរ,78,km,unclassified,approved,
kaorsak,កោរសក់,28,km,unclassified,approved,
kaorsok,កោរសក់,28,km,unclassified,approved,
kaoleahal,កោលាហល,1,km,unclassified,approved,
kaoleahol,កោលាហល,1,km,unclassified,approved,
kaos,កោស,164,km,unclassified,approved,
kaosrus,កោសរូស,1,km,unclassified,approved,
kaosros,កោសរូស,1,km,unclassified,approved,
kaosla,កោសល្ល,1,km,unclassified,approved,
kaoslo,កោសល្ល,1,km,unclassified,approved,
kaosey,កោសិយ,1,km,unclassified,approved,
kaosom,កោសុម,1,km,unclassified,approved,
kohsoten,កោះសូទិន,1,km,unclassified,approved,
kossotin,កោះសូទិន,1,km,unclassified,approved,
kaosey,កោសេយ្យ,1,km,unclassified,approved,
kaoseyvobbakam,កោសេយ្យវប្បកម្ម,1,km,unclassified,approved,
