roman,target,freq,freq_lang,category,status,notes
sonmote,សន្មតិ,1,km,unclassified,approved,
sonnibat,សន្និបាត,47,km,unclassified,approved,
sonnichchai,សន្និច្ច័យ,1,km,unclassified,approved,
sonnidthan,សន្និដ្ឋាន,220,km,unclassified,approved,
sonniph,សន្និភ,1,km,unclassified,approved,
sonnipnthon,សន្និពន្ធន៍,1,km,unclassified,approved,
sonniponthor,សន្និពន្ធ,1,km,unclassified,approved,
sonniseit,សន្និសីទ,11,km,unclassified,approved,
sonnisoat,សន្និស័ទ,1,km,unclassified,approved,
sonnithi,សន្និធិ,1,km,unclassified,approved,
sonniveas,សន្និវាស,8,km,unclassified,approved,
sonnives,សន្និវេស,1,km,unclassified,approved,
sonntea,សុនន្ទា,1,km,unclassified,approved,
sonok,សុនក,7,km,unclassified,approved,
sonokhei,សុនខី,1,km,unclassified,approved,
sonsaum,សន្សើម,6,km,unclassified,approved,
sonseae,សន្សែ,1,km,unclassified,approved,
sonsom,សន្សំ,480,km,unclassified,approved,
sonsorm,សន្សំ,480,km,unclassified,approved,
sonsuem,សន្សឹម,20,km,unclassified,approved,
sonsumtuk,សន្សំទុក,2,km,unclassified,approved,
sonttari,សុន្ទរី,1,km,unclassified,approved,
sonte,សន្តិ,206,km,unclassified,approved,
sonteah,សន្ទះ,24,km,unclassified,approved,
sonttean,សុន្ទរ៍ទាន,1,km,unclassified,approved,
sonteh,សន្ទេហ,1,km,unclassified,approved,
sonteh,សន្ទេះ,1,km,unclassified,approved,
sontepheap,សន្តិភាព,207,km,unclassified,approved,
sontesharini,សន្ទេសហារិនី,1,km,unclassified,approved,
sontesohar,សន្ទេសហារ,1,km,unclassified,approved,
sontesokh,សន្តិសុខ,93,km,unclassified,approved,
sontevithi,សន្តិវិធី,4,km,unclassified,approved,
sontey,សន្ទៃ,1,km,unclassified,approved,
sonthakear,សណ្ឋាគារ,380,km,unclassified,approved,
sonthan,សណ្ឋាន,122,km,unclassified,approved,
sontheab,សន្ធាប់,288,km,unclassified,approved,
sontheakear,សន្ថាគារ,1,km,unclassified,approved,
sonthean,សន្ធាន,1,km,unclassified,approved,
sontheani,សន្ធានី,1,km,unclassified,approved,
sonthearonak,សន្ធារណៈ,1,km,unclassified,approved,
sonthet,សណ្ឋិត,13,km,unclassified,approved,
sonthey,សន្ធៃ,2,km,unclassified,approved,
sonthi,សន្ធិ,17,km,unclassified,approved,
sonthibrokas,សន្ធិប្រកាស,1,km,unclassified,approved,
sonthiyea,សន្ធិយា,1,km,unclassified,approved,
sonthob,សន្ធប់,1,km,unclassified,approved,
sonthor,សន្ធរ,22,km,unclassified,approved,
sonthot,សន្ថត,1,km,unclassified,approved,
sonthou,សន្ធោ,48,km,unclassified,approved,
sonthov,សន្ធៅ,49,km,unclassified,approved,
sonthoveak,សន្ថវៈ,51,km,unclassified,approved,
sonthuek,សន្ធឹក,312,km,unclassified,approved,
sonthuekphkorokroam,សន្ធឹកផ្គរគ្រាំ,1,km,unclassified,approved,
sonthueksonthey,សន្ធឹកសន្ធៃ,1,km,unclassified,approved,
sonthueng,សន្ធឹង,69,km,unclassified,approved,
sonthum,សន្ធំ,1,km,unclassified,approved,
sonthyea,សន្ធ្យា,1,km,unclassified,approved,
sonti,សន្តិ,206,km,unclassified,approved,
sontidthek,សន្ទិដ្ឋិក,1,km,unclassified,approved,
sontidthmitt,សន្ទិដ្ឋមិត្ត,1,km,unclassified,approved,
sontipheap,សន្តិភាព,207,km,unclassified,approved,
sontis,សន្ទិះ,1,km,unclassified,approved,
sontisokh,សន្តិសុខ,93,km,unclassified,approved,
sontivithi,សន្តិវិធី,4,km,unclassified,approved,
sontonea,សន្ទនា,1,km,unclassified,approved,
sonttora,សុន្ទរ,1,km,unclassified,approved,
sonttaro,សុន្ទរោ,1,km,unclassified,approved,
sontote,សន្តតិ,1,km,unclassified,approved,
sontreap,សន្ទ្រាព,1,km,unclassified,approved,
sontron,សុនត្រុន,1,km,unclassified,approved,
sontuch,សន្ទូច,9,km,unclassified,approved,
sontudthei,សន្តុដ្ឋី,1,km,unclassified,approved,
sontuh,សន្ទុះ,332,km,unclassified,approved,
sontung,សន្ទូង,3,km,unclassified,approved,
sonya,សន្យា,1121,km,unclassified,approved,
sop,សព្វ,349,km,unclassified,approved,
sopbaeu,សព្វបើ,1,km,unclassified,approved,
sopdong,សព្វដង,2,km,unclassified,approved,
sopgrob,សព្វគ្រប់,2,km,unclassified,approved,
sopgrub,សព្វគ្រប់,2,km,unclassified,approved,
sophal,សុផល,27,km,unclassified,approved,
sophea,សុភា,150,km,unclassified,approved,
sophea,សោភា,567,km,unclassified,approved,
sopheacharboros,សុភាចារបុរស,1,km,unclassified,approved,
sopheak,សុភ,943,km,unclassified,approved,
sopheap,សុភាព,293,km,unclassified,approved,
sopheaset,សុភាសិត,6,km,unclassified,approved,
sopheatoleakar,សុភាតុលាការ,1,km,unclassified,approved,
sophek,សុភ,943,km,unclassified,approved,
sophikkha,សុភិក្ខ,1,km,unclassified,approved,
sophoak,សុភ័គ,1,km,unclassified,approved,
sophol,សុផល,27,km,unclassified,approved,
sophor,សុភរ,1,km,unclassified,approved,
sophouchon,សុភោជន,1,km,unclassified,approved,
sophum,សុភំ,1,km,unclassified,approved,
sophumsopheap,សុភំសុភាព,1,km,unclassified,approved,
sopmukh,សព្វមុខ,3,km,unclassified,approved,
sopneam,សព្វនាម,1,km,unclassified,approved,
sopoch,សុពច,1,km,unclassified,approved,
sopochak,សុពចៈ,1,km,unclassified,approved,
sopor,សុពណ៌,1,km,unclassified,approved,
soportevi,សុពណ៌ទេវី,1,km,unclassified,approved,
sopphi,សព្ភិ,1,km,unclassified,approved,
soprchnhor,សព៌ជ្ញ,1,km,unclassified,approved,
soprech,សព៌េជ្ញ,1,km,unclassified,approved,
soprohmochari,សព្រហ្មចារី,1,km,unclassified,approved,
soprohmocharini,សព្រហ្មចារិនី,1,km,unclassified,approved,
soptae,សព្វតែ,2,km,unclassified,approved,
sopthngai,សព្វថ្ងៃ,1,km,unclassified,approved,
soptor,សព្ទ,25,km,unclassified,approved,
sor,សរ,1189,km,unclassified,approved,
sor,សុរ,2,km,unclassified,approved,
sorb,ស្អប់,211,km,unclassified,approved,
sorea,សុរា,11,km,unclassified,approved,
sorentror,សុរេន្ទ្រ,1,km,unclassified,approved,
soril,សរិល,1,km,unclassified,approved,
soril,សុរិល,1,km,unclassified,approved,
sorin,សុរិន្ទ,9,km,unclassified,approved,
sorinkhnangophnum,សុរិន្ទខ្នងភ្នំ,1,km,unclassified,approved,
sorinkhnongophnum,សុរិន្ទខ្នងភ្នំ,1,km,unclassified,approved,
sorinteathibatei,សុរិន្ទាធិបតី,1,km,unclassified,approved,
sorinteathibotei,សុរិន្ទាធិបតី,1,km,unclassified,approved,
sorireak,សរីរៈ,1,km,unclassified,approved,
soririn,សរីរិន,1,km,unclassified,approved,
sorisroeb,សរីស្រឹប,1,km,unclassified,approved,
soriya,សុរិយា,8,km,unclassified,approved,
soriyak,សុរិយ,2,km,unclassified,approved,
soriyalngeachthngai,សុរិយាល្ងាចថ្ងៃ,1,km,unclassified,approved,
soriye,សុរិយេ,1,km,unclassified,approved,
soriyoan,សុរិយ័ន,1,km,unclassified,approved,
soriyongkor,សុរិយង្គ,1,km,unclassified,approved,
soriyou,សុរិយោ,27,km,unclassified,approved,
soriyoudei,សុរិយោដី,1,km,unclassified,approved,
sork,សក់,2370,km,unclassified,approved,
sork,សោក,926,km,unclassified,approved,
sork,ស្អក,16,km,unclassified,approved,
sorkkha,សុរក្ខា,1,km,unclassified,approved,
sorm,ស្អំ,49,km,unclassified,approved,
sormdech,សម្ដេច,442,km,unclassified,approved,
sormor,សម៉,1,km,unclassified,approved,
sorng,សង,763,km,unclassified,approved,
sorng,សង់,1352,km,unclassified,approved,
sorob,សរុប,1647,km,unclassified,approved,
soron,សរណ,1,km,unclassified,approved,
soronak,សរណៈ,1,km,unclassified,approved,
soropau,សរពើ,1,km,unclassified,approved,
soropeang,សរពាង្គ,1,km,unclassified,approved,
soropechnhor,សរពេជ្ញ,1,km,unclassified,approved,
sorophi,សុរភី,1,km,unclassified,approved,
soroson,សរសន់,1,km,unclassified,approved,
soroteak,សរទៈ,2,km,unclassified,approved,
sorotokal,សរទកាល,1,km,unclassified,approved,
sorouch,សរោជ,1,km,unclassified,approved,
sorphea,សោភា,567,km,unclassified,approved,
sorpreah,សរព្រះ,1,km,unclassified,approved,
sorsaeu,សរសើរ,2636,km,unclassified,approved,
sorsai,សរសៃ,421,km,unclassified,approved,
sorsaphouchon,សុរសភោជន,1,km,unclassified,approved,
sorse,សរសេរ,526,km,unclassified,approved,
sorser,សរសើរ,2636,km,unclassified,approved,
sorsophouchon,សុរសភោជន,1,km,unclassified,approved,
sorsvoat,សរស្វ័ត,1,km,unclassified,approved,
sorub,សុរូប,1,km,unclassified,approved,
sory,ស្អយ,1,km,unclassified,approved,
sorya,សូរ្យ,62,km,unclassified,approved,
sos,សុស,5,km,unclassified,approved,
sos,សោះ,1741,km,unclassified,approved,
sosai,សរសៃ,421,km,unclassified,approved,
sosan,សុសាន,1,km,unclassified,approved,
sosangkor,សសាង្ក,1,km,unclassified,approved,
sosaoh,សសោះ,1,km,unclassified,approved,
