roman,target,freq,freq_lang,category,status,notes
konhachinea,កណ្ហាជិនា,1,km,unclassified,approved,
konhaketteyos,កញ្ញាកិត្តិយស,1,km,unclassified,approved,
konhcha,កញ្ឆា,36,km,unclassified,approved,
konhchaeeah,កញ្ជែះ,1,km,unclassified,approved,
konhchang,កញ្ចាំង,2,km,unclassified,approved,
konhchanhchek,កញ្ចាញ់ចេក,1,km,unclassified,approved,
konhchanhchras,កញ្ចាញ់ច្រាស,1,km,unclassified,approved,
konhchas,កញ្ចាស់,5,km,unclassified,approved,
konhchau,កញ្ជើ,8,km,unclassified,approved,
konhchaubaydach,កញ្ជើបាយដាច,1,km,unclassified,approved,
konhchauchumpuoh,កញ្ជើជំពោះ,1,km,unclassified,approved,
konhchaujumpus,កញ្ជើជំពោះ,1,km,unclassified,approved,
konhche,កញ្ចែ,23,km,unclassified,approved,
konhcheah,កញ្ជះ,1,km,unclassified,approved,
konhcheahkanhjay,កញ្ជះកញ្ជាយ,1,km,unclassified,approved,
konhcheahkonhchay,កញ្ជះកញ្ជាយ,1,km,unclassified,approved,
konhcheak,កញ្ជាក់,1,km,unclassified,approved,
konhcheaksla,កញ្ជាក់ស្លា,1,km,unclassified,approved,
konhcheam,កញ្ចាម,1,km,unclassified,approved,
konhcheat,កញ្ជាត,1,km,unclassified,approved,
konhchhanh,កញ្ឆាញ,1,km,unclassified,approved,
konhchhaunh,កញ្ឆើញ,1,km,unclassified,approved,
konhchheat,កញ្ឆាត់,1,km,unclassified,approved,
konhchheng,កញ្ឆេង,1,km,unclassified,approved,
konhchhet,កញ្ឆែត,1,km,unclassified,approved,
konhchhev,កញ្ឆែវ,1,km,unclassified,approved,
konhchhiev,កញ្ឆៀវ,1,km,unclassified,approved,
konhchhil,កញ្ឆិល,1,km,unclassified,approved,
konhchhit,កញ្ឆិត,1,km,unclassified,approved,
konhchhout,កញ្ឆោត,1,km,unclassified,approved,
konhchhuem,កញ្ឆឹម,1,km,unclassified,approved,
konhchhuong,កញ្ឆួង,1,km,unclassified,approved,
konhchhus,កញ្ឈូស,1,km,unclassified,approved,
konhchob,កញ្ចប់,475,km,unclassified,approved,
konhchob,កញ្ជប់,2,km,unclassified,approved,
konhchobkanhjov,កញ្ចប់កញ្ចូវ,1,km,unclassified,approved,
konhchobkonhchuv,កញ្ចប់កញ្ចូវ,1,km,unclassified,approved,
konhchok,កញ្ចក,1,km,unclassified,approved,
konhchol,កញ្ឆល,1,km,unclassified,approved,
konhchonchey,កញ្ជនជៃ,1,km,unclassified,approved,
konhchong,កញ្ជង់,1,km,unclassified,approved,
konhchonjey,កញ្ជនជៃ,1,km,unclassified,approved,
konhchor,កញ្ជរ,1,km,unclassified,approved,
konhchor,កុញ្ជរ,1,km,unclassified,approved,
konhchorb,កញ្ចោប,1,km,unclassified,approved,
konhchork,កញ្ឆក់,5,km,unclassified,approved,
konhchorkkonhcheng,កញ្ឆក់កញ្ឆែង,1,km,unclassified,approved,
konhchorng,កញ្ចោង,1,km,unclassified,approved,
konhchorreathibtei,កុញ្ជរាធិបតី,1,km,unclassified,approved,
konhchot,កញ្ចោត,1,km,unclassified,approved,
konhchot,កញ្ឆត,1,km,unclassified,approved,
konhchou,កញ្ជោ,1,km,unclassified,approved,
konhchrauk,កញ្ជ្រូក,1,km,unclassified,approved,
konhchreng,កញ្ច្រែង,1,km,unclassified,approved,
konhchrieb,កញ្ជ្រៀប,1,km,unclassified,approved,
konhchriech,កញ្ជ្រៀច,1,km,unclassified,approved,
konhchriev,កញ្ជ្រៀវ,12,km,unclassified,approved,
konhchrok,កញ្ជ្រក់,1,km,unclassified,approved,
konhchrom,កញ្ជ្រម,1,km,unclassified,approved,
konhchrong,កញ្ច្រង់,1,km,unclassified,approved,
konhchrouk,កញ្ជ្រូក,1,km,unclassified,approved,
konhchrouk,កញ្ជ្រោក,1,km,unclassified,approved,
konhchroukbaokbach,កញ្ជ្រោកបោកបាច,1,km,unclassified,approved,
konhchroul,កញ្ជ្រោល,12,km,unclassified,approved,
konhchroung,កញ្ជ្រោង,25,km,unclassified,approved,
konhchrub,កញ្ច្រឺប,1,km,unclassified,approved,
konhchruek,កញ្ច្រឹក,1,km,unclassified,approved,
konhchruk,កញ្ជ្រូក,1,km,unclassified,approved,
konhchuengkor,កញ្ចឹងក,1,km,unclassified,approved,
konhchuh,កញ្ចុះ,15,km,unclassified,approved,
konhchum,កញ្ចុំ,7,km,unclassified,approved,
konhchunh,កញ្ចូញ,1,km,unclassified,approved,
konhchuo,កញ្ជួ,1,km,unclassified,approved,
konhchusmean,កញ្ជុសមាន់,1,km,unclassified,approved,
konhjang,កញ្ចាំង,2,km,unclassified,approved,
konhjanhchek,កញ្ចាញ់ចេក,1,km,unclassified,approved,
konhjanhchras,កញ្ចាញ់ច្រាស,1,km,unclassified,approved,
konhjanhjras,កញ្ចាញ់ច្រាស,1,km,unclassified,approved,
konhjas,កញ្ចាស់,5,km,unclassified,approved,
