roman,target,freq,freq_lang,category,status,notes
rolob,រឡប់,1,km,unclassified,approved,
rolak,រឡាក់,1,km,unclassified,approved,
rolanh,រឡាញ,1,km,unclassified,approved,
rolam,រឡាម,1,km,unclassified,approved,
rolekrolak,រឡិករឡក់,1,km,unclassified,approved,
rolekrolok,រឡិករឡក់,1,km,unclassified,approved,
rolekrolak,រឡិករឡាក់,1,km,unclassified,approved,
rolengrolang,រឡិងរឡង់,1,km,unclassified,approved,
rolengrolong,រឡិងរឡង់,1,km,unclassified,approved,
rolebrolab,រឡិបរឡប់,1,km,unclassified,approved,
rolebrolob,រឡិបរឡប់,1,km,unclassified,approved,
roleum,រឡឺម,1,km,unclassified,approved,
rolou,រឡូ,1,km,unclassified,approved,
rolo,រឡូ,1,km,unclassified,approved,
roloung,រឡូង,1,km,unclassified,approved,
rolong,រឡូង,1,km,unclassified,approved,
roloungrolang,រឡូងរឡាង,1,km,unclassified,approved,
rolongrolang,រឡូងរឡាង,1,km,unclassified,approved,
rolourola,រឡូរឡា,1,km,unclassified,approved,
rolemrolam,រឡេមរឡាម,1,km,unclassified,approved,
rolemroleum,រឡេមរឡឺម,1,km,unclassified,approved,
rolehrolah,រឡេះរឡះ,1,km,unclassified,approved,
rolehrolaoh,រឡេះរឡោះ,1,km,unclassified,approved,
rolaerol,រឡែរឡ,1,km,unclassified,approved,
rolaerolab,រឡែរឡប់,1,km,unclassified,approved,
rolaerolob,រឡែរឡប់,1,km,unclassified,approved,
rolau,រឡៅ,1,km,unclassified,approved,
rolavv,រឡៅ,1,km,unclassified,approved,
roaa,រអា,1,km,unclassified,approved,
rumaa,រំអា,1,km,unclassified,approved,
romaa,រំអា,1,km,unclassified,approved,
roaakropeay,រអាករពាយ,1,km,unclassified,approved,
roaakroaay,រអាករអាយ,1,km,unclassified,approved,
roaakaroauol,រអាក់រអួល,1,km,unclassified,approved,
roaakoroauol,រអាក់រអួល,1,km,unclassified,approved,
roaakaroaaeu,រអាក់រអើ,1,km,unclassified,approved,
roaakoroaaeu,រអាក់រអើ,1,km,unclassified,approved,
roaang,រអាង,1,km,unclassified,approved,
roaat,រអាត,1,km,unclassified,approved,
roaam,រអាម,1,km,unclassified,approved,
roaaroaoum,រអារអូម,1,km,unclassified,approved,
roaech,រអិច,1,km,unclassified,approved,
roech,រអិច,1,km,unclassified,approved,
roaisroauh,រអ៊‌ិះរអ៊ុះ,1,km,unclassified,approved,
roael,រអិល,1,km,unclassified,approved,
roel,រអិល,1,km,unclassified,approved,
rumael,រំអិល,1,km,unclassified,approved,
rumel,រំអិល,1,km,unclassified,approved,
romael,រំអិល,1,km,unclassified,approved,
romel,រំអិល,1,km,unclassified,approved,
roairoau,រអ៊‌ីរអ៊ូ,1,km,unclassified,approved,
roaoek,រអឹក,1,km,unclassified,approved,
roaoekroaam,រអឹករអាំ,1,km,unclassified,approved,
roaoekroaeun,រអឹករអឺន,1,km,unclassified,approved,
roaeut,រអឺត,1,km,unclassified,approved,
roauh,រអ៊ុះ,1,km,unclassified,approved,
roouh,រអ៊ុះ,1,km,unclassified,approved,
rumaok,រំអុក,1,km,unclassified,approved,
romaok,រំអុក,1,km,unclassified,approved,
rumaokrumaae,រំអុករំអែ,1,km,unclassified,approved,
romaokromaae,រំអុករំអែ,1,km,unclassified,approved,
rooch,រអុច,1,km,unclassified,approved,
roou,រអ៊ូ,1,km,unclassified,approved,
roouch,រអូច,1,km,unclassified,approved,
roouchroaaeub,រអូចរអើប,1,km,unclassified,approved,
roouchroaaeum,រអូចរអើម,1,km,unclassified,approved,
roourotoam,រអ៊ូរទាំ,1,km,unclassified,approved,
rumauoy,រំអួយ,1,km,unclassified,approved,
rumaaeuk,រំអើក,1,km,unclassified,approved,
roaaeutroaaeum,រអើតរអើម,1,km,unclassified,approved,
roaeub,រអើប,1,km,unclassified,approved,
roaeubrochaub,រអើបរជើប,1,km,unclassified,approved,
roaeubrochour,រអើបរជោរ,1,km,unclassified,approved,
roaeum,រអើម,1,km,unclassified,approved,
roaeul,រអើល,1,km,unclassified,approved,
roiekroauy,រអៀករអាយ,1,km,unclassified,approved,
roeakroaay,រអៀករអាយ,1,km,unclassified,approved,
roaiech,រអៀច,1,km,unclassified,approved,
roaies,រអៀស,1,km,unclassified,approved,
roaechroaouch,រអេចរអូច,1,km,unclassified,approved,
roaetaroaat,រអេតរអត,1,km,unclassified,approved,
roaetoroaot,រអេតរអត,1,km,unclassified,approved,
roaehroaoh,រអេះរអុះ,1,km,unclassified,approved,
roaeakroao,រអេៈរអុ,1,km,unclassified,approved,
roaaek,រអែក,1,km,unclassified,approved,
roaaeng,រអែង,1,km,unclassified,approved,
rumaaeng,រំអែង,1,km,unclassified,approved,
roaaetaroaat,រអែតរអត,1,km,unclassified,approved,
roaaetoroaot,រអែតរអត,1,km,unclassified,approved,
roaaeroaouv,រអែរអូវ,1,km,unclassified,approved,
rumaaerumauoy,រំអែរំអួយ,1,km,unclassified,approved,
roaai,រអៃ,1,km,unclassified,approved,
roaaok,រអោក,1,km,unclassified,approved,
rok,រឭក,1,km,unclassified,approved,
rumk,រំឭក,1,km,unclassified,approved,
ros,រឱស,1,km,unclassified,approved,
rosathan,រឱសឋាន,1,km,unclassified,approved,
rosothan,រឱសឋាន,1,km,unclassified,approved,
rorm,រាំ,1,km,unclassified,approved,
roam,រាំ,1,km,unclassified,approved,
roarm,រាំ,1,km,unclassified,approved,
rra,រ៉ា,1,km,unclassified,approved,
rroam,រ៉ាំ,1,km,unclassified,approved,
reak,រាក,1,km,unclassified,approved,
reak,រាក់,1,km,unclassified,approved,
reakateak,រាក់ទាក់,1,km,unclassified,approved,
reakoteak,រាក់ទាក់,1,km,unclassified,approved,
reaksoas,រាក្ស័ស,1,km,unclassified,approved,
reaksasei,រាក្សសី,1,km,unclassified,approved,
reaksosei,រាក្សសី,1,km,unclassified,approved,
reak,រាគ,1,km,unclassified,approved,
reang,រាង,1,km,unclassified,approved,
rieng,រាង,1,km,unclassified,approved,
reang,រាំង,1,km,unclassified,approved,
rrang,រ៉ាង,1,km,unclassified,approved,
rreang,រ៉ាង,1,km,unclassified,approved,
reangnlong,រាំងគន្លង,1,km,unclassified,approved,
reangl,រាំងជល,1,km,unclassified,approved,
reangdouchachea,រាងដូចជា,1,km,unclassified,approved,
reangdouchochea,រាងដូចជា,1,km,unclassified,approved,
reangdochachea,រាងដូចជា,1,km,unclassified,approved,
reangdochochea,រាងដូចជា,1,km,unclassified,approved,
reangdochajea,រាងដូចជា,1,km,unclassified,approved,
reangdochojea,រាងដូចជា,1,km,unclassified,approved,
rreangk,រ៉ាំងណុក,1,km,unclassified,approved,
reangrie,រាំងរា,1,km,unclassified,approved,
reangrea,រាំងរា,1,km,unclassified,approved,
reangorov,រាងរៅ,1,km,unclassified,approved,
reangorou,រាងរៅ,1,km,unclassified,approved,
reangb,រាំងសាប,1,km,unclassified,approved,
reach,រាច,1,km,unclassified,approved,
reach,រាជ,1,km,unclassified,approved,
reachkakothphondar,រាជកកុធភណ្ឌ,1,km,unclassified,approved,
reachkokothphondor,រាជកកុធភណ្ឌ,1,km,unclassified,approved,
reachokar,រាជការ,1,km,unclassified,approved,
reachchhpoes,រាជឆ្ពឹស,1,km,unclassified,approved,
reachtatri,រាជតាទ្រិ,1,km,unclassified,approved,
reachtanvit,រាជតាន្វិត,1,km,unclassified,approved,
reachothean,រាជធាន,1,km,unclassified,approved,
reachtheani,រាជធានី,1,km,unclassified,approved,
reachtheany,រាជធានី,1,km,unclassified,approved,
reachbandetyasaphea,រាជបណ្ឌិត្យសភា,1,km,unclassified,approved,
reachbondetyosophea,រាជបណ្ឌិត្យសភា,1,km,unclassified,approved,
reachbandetysthan,រាជបណ្ឌិត្យស្ថាន,1,km,unclassified,approved,
reachbondetysthan,រាជបណ្ឌិត្យស្ថាន,1,km,unclassified,approved,
reachbotrar,រាជបុត្រ,1,km,unclassified,approved,
reachbotror,រាជបុត្រ,1,km,unclassified,approved,
reachprueksar,រាជព្រឹក្ស,1,km,unclassified,approved,
reachprueksor,រាជព្រឹក្ស,1,km,unclassified,approved,
reachvoate,រាជវ័តិ,1,km,unclassified,approved,
reachvorte,រាជវ័តិ,1,km,unclassified,approved,
reachveang,រាជវាំង,1,km,unclassified,approved,
reachhrytey,រាជហឫទ័យ,1,km,unclassified,approved,
reachea,រាជា,1,km,unclassified,approved,
reajea,រាជា,1,km,unclassified,approved,
reacheakonak,រាជាគណៈ,1,km,unclassified,approved,
reacheakanak,រាជាគណៈ,1,km,unclassified,approved,
reacheathikari,រាជាធិការី,1,km,unclassified,approved,
reacheayotaneak,រាជាយតនៈ,1,km,unclassified,approved,
reacheayotoneak,រាជាយតនៈ,1,km,unclassified,approved,
reacheaytanochetey,រាជាយតនចេតិយ,1,km,unclassified,approved,
reacheaytonochetey,រាជាយតនចេតិយ,1,km,unclassified,approved,
reachini,រាជិនី,1,km,unclassified,approved,
reachinikoul,រាជិនីកូល,1,km,unclassified,approved,
reachinikol,រាជិនីកូល,1,km,unclassified,approved,
reachisei,រាជិសី,1,km,unclassified,approved,
reachisey,រាជិសី,1,km,unclassified,approved,
reachi,រាជី,1,km,unclassified,approved,
reaji,រាជី,1,km,unclassified,approved,
reachubkaron,រាជូបករណ៍,1,km,unclassified,approved,
reachubkoron,រាជូបករណ៍,1,km,unclassified,approved,
reachoubkaron,រាជោបករណ៍,1,km,unclassified,approved,
reachoubkoron,រាជោបករណ៍,1,km,unclassified,approved,
reachyor,រាជ្យ,1,km,unclassified,approved,
reachyeangkor,រាជ្យាង្គ,1,km,unclassified,approved,
rreada,រ៉ាដា,1,km,unclassified,approved,
rrada,រ៉ាដា,1,km,unclassified,approved,
reat,រាត់,1,km,unclassified,approved,
rreat,រ៉ាត់,1,km,unclassified,approved,
rratt,រ៉ាត់,1,km,unclassified,approved,
reattbat,រាតត្បាត,1,km,unclassified,approved,
rreatabrakhot,រ៉ាត់ប្រខុត,1,km,unclassified,approved,
rreatobrokhot,រ៉ាត់ប្រខុត,1,km,unclassified,approved,
reatmbeanh,រាតម្បាញ,1,km,unclassified,approved,
reatareay,រាត់រាយ,1,km,unclassified,approved,
reatoreay,រាត់រាយ,1,km,unclassified,approved,
reatreay,រាត់រាយ,1,km,unclassified,approved,
rortoreay,រាត់រាយ,1,km,unclassified,approved,
rortreay,រាត់រាយ,1,km,unclassified,approved,
reatrei,រាត្រី,1,km,unclassified,approved,
reatrey,រាត្រី,1,km,unclassified,approved,
reathay,រាថយ,1,km,unclassified,approved,
reathoy,រាថយ,1,km,unclassified,approved,
reathon,រាធន៍,1,km,unclassified,approved,
rean,រាន,1,km,unclassified,approved,
rean,រាន់,1,km,unclassified,approved,
reanokan,រានកាន,1,km,unclassified,approved,
reankan,រានកាន,1,km,unclassified,approved,
reanohal,រានហាល,1,km,unclassified,approved,
reab,រាប,1,km,unclassified,approved,
rorb,រាប់,1,km,unclassified,approved,
rreab,រ៉ាប់,1,km,unclassified,approved,
rrab,រ៉ាប់,1,km,unclassified,approved,
reabateab,រាបទាប,1,km,unclassified,approved,
reaboteab,រាបទាប,1,km,unclassified,approved,
rreabarong,រ៉ាប់រង,1,km,unclassified,approved,
rreaborong,រ៉ាប់រង,1,km,unclassified,approved,
reabarieb,រាប់រៀប,1,km,unclassified,approved,
reaborieb,រាប់រៀប,1,km,unclassified,approved,
reabasa,រាបសា,1,km,unclassified,approved,
reabosa,រាបសា,1,km,unclassified,approved,
reabaaan,រាប់អាន,1,km,unclassified,approved,
reaboaan,រាប់អាន,1,km,unclassified,approved,
reapon,រាពណ៍,1,km,unclassified,approved,
ream,រាម,1,km,unclassified,approved,
reamkerti,រាមកិរ្តិ៍,1,km,unclassified,approved,
reamchantror,រាមចន្ទ្រ,1,km,unclassified,approved,
reamchontror,រាមចន្ទ្រ,1,km,unclassified,approved,
reamonhnh,រាមញ្ញ,1,km,unclassified,approved,
reamneyy,រាមណេយ្យ,1,km,unclassified,approved,
reamphumi,រាមភូមិ,1,km,unclassified,approved,
reamphum,រាមភូមិ,1,km,unclassified,approved,
reamreachyor,រាមរាជ្យ,1,km,unclassified,approved,
reamosour,រាមសូរ,1,km,unclassified,approved,
reamosor,រាមសូរ,1,km,unclassified,approved,
reameayon,រាមាយណ,1,km,unclassified,approved,
reameayonek,រាមាយណិក,1,km,unclassified,approved,
reay,រាយ,1,km,unclassified,approved,
reayka,រាយការណ៍,1,km,unclassified,approved,
reayngean,រាយង៉ាន,1,km,unclassified,approved,
reaypopeay,រាយពពាយ,1,km,unclassified,approved,
reayomeay,រាយមាយ,1,km,unclassified,approved,
reayorong,រាយរង,1,km,unclassified,approved,
reayreab,រាយរាប់,1,km,unclassified,approved,
rearong,រារង់,1,km,unclassified,approved,
reareang,រារាំង,1,km,unclassified,approved,
roaml,រាំរៀល,1,km,unclassified,approved,
reareaek,រារែក,1,km,unclassified,approved,
rearaek,រារែក,1,km,unclassified,approved,
rroamai,រ៉ាំរ៉ៃ,1,km,unclassified,approved,
real,រាល,1,km,unclassified,approved,
rorl,រាល់,1,km,unclassified,approved,
ror,រាល់,1,km,unclassified,approved,
reav,រាវ,1,km,unclassified,approved,
rrav,រ៉ាវ,1,km,unclassified,approved,
rreavotav,រ៉ាវតាវ,1,km,unclassified,approved,
reavi,រាវី,1,km,unclassified,approved,
reavy,រាវី,1,km,unclassified,approved,
roas,រាស់,1,km,unclassified,approved,
rors,រាស់,1,km,unclassified,approved,
reasechakrar,រាសិចក្រ,1,km,unclassified,approved,
reasechokror,រាសិចក្រ,1,km,unclassified,approved,
reasei,រាសី,1,km,unclassified,approved,
reasey,រាសី,1,km,unclassified,approved,
reaseichakrar,រាសីចក្រ,1,km,unclassified,approved,
reaseichokror,រាសីចក្រ,1,km,unclassified,approved,
reaho,រាហុ,1,km,unclassified,approved,
reaho,រាហុ៍,1,km,unclassified,approved,
reahol,រាហុល,1,km,unclassified,approved,
reaholmeata,រាហុលមាតា,1,km,unclassified,approved,
reahou,រាហូ,1,km,unclassified,approved,
reaho,រាហូ,1,km,unclassified,approved,
riskon,រិះគន់,1,km,unclassified,approved,
reskun,រិះគន់,1,km,unclassified,approved,
reskon,រិះគន់,1,km,unclassified,approved,
riskun,រិះគន់,1,km,unclassified,approved,
rinh,រិញៗ,1,km,unclassified,approved,
rittapheap,រិត្តភាព,1,km,unclassified,approved,
rittopheap,រិត្តភាព,1,km,unclassified,approved,
ribonhchey,រិបុញ្ជ័យ,1,km,unclassified,approved,
ribonhjey,រិបុញ្ជ័យ,1,km,unclassified,approved,
rim,រិម,1,km,unclassified,approved,
ril,រិល,1,km,unclassified,approved,
rril,រ៉ិល,1,km,unclassified,approved,
ristar,រិស្ត,1,km,unclassified,approved,
ristor,រិស្ត,1,km,unclassified,approved,
ri,រី,1,km,unclassified,approved,
rri,រ៉ី,1,km,unclassified,approved,
rik,រីក,1,km,unclassified,approved,
rikareay,រីករាយ,1,km,unclassified,approved,
rikoreay,រីករាយ,1,km,unclassified,approved,
ring,រីង,1,km,unclassified,approved,
rit,រីត,1,km,unclassified,approved,
rite,រីតិ,1,km,unclassified,approved,
riae,រីឯ,1,km,unclassified,approved,
reuh,រឹះ,1,km,unclassified,approved,
rueah,រឹះ,1,km,unclassified,approved,
rueeah,រឹះ,1,km,unclassified,approved,
rerng,រឹង,1,km,unclassified,approved,
roeung,រឹង,1,km,unclassified,approved,
rirng,រឹង,1,km,unclassified,approved,
rreung,រ៉ឹង,1,km,unclassified,approved,
reungtaeng,រឹងត្អឹង,1,km,unclassified,approved,
reungtaeung,រឹងត្អឹង,1,km,unclassified,approved,
reungboeng,រឹងប៉ឹង,1,km,unclassified,approved,
reungbeung,រឹងប៉ឹង,1,km,unclassified,approved,
reungpeng,រឹងប៉ឹង,1,km,unclassified,approved,
rengpeng,រឹងប៉ឹង,1,km,unclassified,approved,
reungruet,រឹងរឹត,1,km,unclassified,approved,
rengrus,រឹងរូស,1,km,unclassified,approved,
reut,រឹត,1,km,unclassified,approved,
reutchamnang,រឹតចំណង,1,km,unclassified,approved,
reutchamnong,រឹតចំណង,1,km,unclassified,approved,
reuttae,រឹតតែ,1,km,unclassified,approved,
rettea,រឹតតែ,1,km,unclassified,approved,
rerttea,រឹតតែ,1,km,unclassified,approved,
reuttbet,រឹតត្បិត,1,km,unclassified,approved,
reuttbett,រឹតត្បិត,1,km,unclassified,approved,
reutthi,រឹទ្ធិ,1,km,unclassified,approved,
reutthy,រឹទ្ធិ,1,km,unclassified,approved,
reub,រឹប,1,km,unclassified,approved,
reum,រឹម,1,km,unclassified,approved,
reum,រឹមៗ,1,km,unclassified,approved,
reul,រឹល,1,km,unclassified,approved,
rsya,រឹស្យា,1,km,unclassified,approved,
reung,រ៉ឺងៗ,1,km,unclassified,approved,
rut,រឺត,1,km,unclassified,approved,
ruum,រុំ,1,km,unclassified,approved,
rum,រុំ,1,km,unclassified,approved,
rom,រុំ,1,km,unclassified,approved,
ruh,រុះ,1,km,unclassified,approved,
ruk,រុក,1,km,unclassified,approved,
rukakuon,រុកកួន,1,km,unclassified,approved,
