roman,target,freq,freq_lang,category,status,notes
romcheaek,រំជែក,1,km,unclassified,approved,
romcheidai,រំចីដៃ,1,km,unclassified,approved,
romchek,រំចេក,1,km,unclassified,approved,
romchenh,រំជេញ,1,km,unclassified,approved,
romcherb,រំជើប,55,km,unclassified,approved,
romchik,រំជីក,1,km,unclassified,approved,
romchirumchea,រំជីរំជា,1,km,unclassified,approved,
romchoul,រំជួល,136,km,unclassified,approved,
romchumrumchaeng,រំជំរំជែង,1,km,unclassified,approved,
romchuol,រំជួល,136,km,unclassified,approved,
romdak,រំដាក,1,km,unclassified,approved,
romdek,រំដេក,1,km,unclassified,approved,
romdeng,រំដេង,7,km,unclassified,approved,
romdoul,រំដួល,30,km,unclassified,approved,
romduol,រំដួល,30,km,unclassified,approved,
romeaeng,រមែង,5,km,unclassified,approved,
romeak,រមាក,1,km,unclassified,approved,
romeang,រមាំង,1,km,unclassified,approved,
romeangbaerkkbas,រមាំងបើកបាស,1,km,unclassified,approved,
romeangberkbas,រមាំងបើកបាស,1,km,unclassified,approved,
romeas,រមាស,24,km,unclassified,approved,
romeas,រមាស់,75,km,unclassified,approved,
romeat,រមាត់,1,km,unclassified,approved,
romehromaoh,រម៉េះរម៉ោះ,1,km,unclassified,approved,
romekromak,រម៉ិករម៉ក់,1,km,unclassified,approved,
romekromok,រម៉ិករម៉ក់,1,km,unclassified,approved,
romel,រំអិល,8,km,unclassified,approved,
romeng,រម៉ិង,1,km,unclassified,approved,
romengromang,រម៉ិងរម៉ាំង,1,km,unclassified,approved,
romenh,រមេញ,1,km,unclassified,approved,
romgeal,រំគាល,1,km,unclassified,approved,
romgeay,រំគាយ,1,km,unclassified,approved,
romhach,រំហាច,1,km,unclassified,approved,
romhae,រម្ហែ,1,km,unclassified,approved,
romhae,រំហែ,1,km,unclassified,approved,
romhaeuy,រំហើយ,1,km,unclassified,approved,
romhaok,រំហោក,1,km,unclassified,approved,
romhauy,រម្ហើយ,1,km,unclassified,approved,
romheach,រម្ហាច,1,km,unclassified,approved,
romheae,រម្ហែ,1,km,unclassified,approved,
