roman,target,freq,freq_lang,category,status,notes
sanha,សញ្ញា,1784,km,unclassified,approved,
sanhabat,សញ្ញាបត្រ,1784,km,unclassified,approved,
sanhabat,សញ្ញាប័ត្រ,1784,km,unclassified,approved,
sanhan,សញ្ញាណ,552,km,unclassified,approved,
sanhar,សណ្ហ,1,km,unclassified,approved,
sanhchaek,សញ្ជែក,1,km,unclassified,approved,
sanhcharika,សញ្ចារិកា,1,km,unclassified,approved,
sanhchear,សញ្ចារ,1,km,unclassified,approved,
sanhcheat,សញ្ជាត,1,km,unclassified,approved,
sanhcheat,សញ្ជាតិ,1412,km,unclassified,approved,
sanhchey,សញ្ជ័យ,1,km,unclassified,approved,
sanhchhea,សញ្ឈា,1,km,unclassified,approved,
sanhchip,សញ្ជីព,1,km,unclassified,approved,
sanhchivnokam,សញ្ជីវនកម្ម,1,km,unclassified,approved,
sanhchivoan,សញ្ជីវ័ន,1,km,unclassified,approved,
sanhchnosat,សាញ្ជនសត្វ,1,km,unclassified,approved,
sanhchob,សញ្ជប់,1,km,unclassified,approved,
sanhchor,សញ្ចរ,1,km,unclassified,approved,
sanhchueng,សញ្ជឹង,3,km,unclassified,approved,
sanhjeat,សញ្ជាតិ,1412,km,unclassified,approved,
sanhnhi,សញ្ញី,1,km,unclassified,approved,
sanhnhouchon,សញ្ញោជន,1,km,unclassified,approved,
sankram,សានក្រម,1,km,unclassified,approved,
sankrom,សានក្រម,1,km,unclassified,approved,
sanlak,សន្លាក់,195,km,unclassified,approved,
sanlang,សន្លាង,113,km,unclassified,approved,
sanlem,សន្លឹម,19,km,unclassified,approved,
sanlin,សន្លិន,1,km,unclassified,approved,
sanlob,សន្លប់,470,km,unclassified,approved,
sanlong,សន្លង់,1,km,unclassified,approved,
sanluem,សន្លឹម,19,km,unclassified,approved,
sanlueng,សន្លឹង,2,km,unclassified,approved,
sanlung,សន្លុង,2,km,unclassified,approved,
sanmarino,សាន់ម៉ារីណូ,1,km,places,approved,
sanmot,សន្មត,20,km,unclassified,approved,
sanmote,សន្មតិ,1,km,unclassified,approved,
sannibat,សន្និបាត,47,km,unclassified,approved,
sannichchai,សន្និច្ច័យ,1,km,unclassified,approved,
sannidthan,សន្និដ្ឋាន,220,km,unclassified,approved,
sanniph,សន្និភ,1,km,unclassified,approved,
sannipnthon,សន្និពន្ធន៍,1,km,unclassified,approved,
sanniponthor,សន្និពន្ធ,1,km,unclassified,approved,
sanniseit,សន្និសីទ,11,km,unclassified,approved,
sannisat,សន្និស័ទ,1,km,unclassified,approved,
sannissetaseil,សន្និស្សិតសីល,1,km,unclassified,approved,
sannithi,សន្និធិ,1,km,unclassified,approved,
sanniveas,សន្និវាស,8,km,unclassified,approved,
sannives,សន្និវេស,1,km,unclassified,approved,
sanonouv,សានណូវ,1,km,unclassified,approved,
sanovan,សាន់វ៉ាន់,1,km,unclassified,approved,
sanpostr,សាណពស្ត្រ,1,km,unclassified,approved,
sansaum,សន្សើម,6,km,unclassified,approved,
sanseae,សន្សែ,1,km,unclassified,approved,
sanskrit,សំស្ក្រឹត,6,km,unclassified,approved,
sansuem,សន្សឹម,20,km,unclassified,approved,
sansumtuk,សន្សំទុក,2,km,unclassified,approved,
sante,សន្តិ,206,km,unclassified,approved,
santeah,សន្ទះ,24,km,unclassified,approved,
santeh,សន្ទេហ,1,km,unclassified,approved,
santeh,សន្ទេះ,1,km,unclassified,approved,
santepheap,សន្តិភាព,207,km,unclassified,approved,
santesahar,សន្ទេសហារ,1,km,unclassified,approved,
santesharini,សន្ទេសហារិនី,1,km,unclassified,approved,
santesokh,សន្តិសុខ,93,km,unclassified,approved,
santevithi,សន្តិវិធី,4,km,unclassified,approved,
santey,សន្ទៃ,1,km,unclassified,approved,
santhakear,សណ្ឋាគារ,380,km,unclassified,approved,
santhan,សណ្ឋាន,122,km,unclassified,approved,
santheab,សន្ធាប់,288,km,unclassified,approved,
santheakear,សន្ថាគារ,1,km,unclassified,approved,
santhean,សន្ធាន,1,km,unclassified,approved,
santheani,សន្ធានី,1,km,unclassified,approved,
santhearonak,សន្ធារណៈ,1,km,unclassified,approved,
santhet,សណ្ឋិត,13,km,unclassified,approved,
santhi,សន្ធិ,17,km,unclassified,approved,
santhibrakas,សន្ធិប្រកាស,1,km,unclassified,approved,
santhiyea,សន្ធិយា,1,km,unclassified,approved,
santhob,សន្ធប់,1,km,unclassified,approved,
santhor,សន្ធរ,22,km,unclassified,approved,
santhot,សន្ថត,1,km,unclassified,approved,
santhou,សន្ធោ,48,km,unclassified,approved,
santhov,សន្ធៅ,49,km,unclassified,approved,
santhoveak,សន្ថវៈ,51,km,unclassified,approved,
santhuek,សន្ធឹក,312,km,unclassified,approved,
santhuekphkarokroam,សន្ធឹកផ្គរគ្រាំ,1,km,unclassified,approved,
santhueksanthey,សន្ធឹកសន្ធៃ,1,km,unclassified,approved,
santhueng,សន្ធឹង,69,km,unclassified,approved,
santhum,សន្ធំ,1,km,unclassified,approved,
santhyea,សន្ធ្យា,1,km,unclassified,approved,
santi,សន្តិ,206,km,unclassified,approved,
santi,សាន្តិ,1,km,unclassified,approved,
santidthek,សន្ទិដ្ឋិក,1,km,unclassified,approved,
santidthmitt,សន្ទិដ្ឋមិត្ត,1,km,unclassified,approved,
santipheap,សន្តិភាព,207,km,unclassified,approved,
santis,សន្ទិះ,1,km,unclassified,approved,
santisokh,សន្តិសុខ,93,km,unclassified,approved,
santivithi,សន្តិវិធី,4,km,unclassified,approved,
santonea,សន្ទនា,1,km,unclassified,approved,
santor,សាន្ត,34,km,unclassified,approved,
santote,សន្តតិ,1,km,unclassified,approved,
santreap,សន្ទ្រាព,1,km,unclassified,approved,
santuch,សន្ទូច,9,km,unclassified,approved,
santudthei,សន្តុដ្ឋី,1,km,unclassified,approved,
santuh,សន្ទុះ,332,km,unclassified,approved,
santung,សន្ទូង,3,km,unclassified,approved,
sanu,សានូ,1,km,unclassified,approved,
sanusess,សានុសិស្ស,1,km,unclassified,approved,
sanyasapheap,សន្យាសភាព,1,km,unclassified,approved,
sao,សោ,183,km,unclassified,approved,
sao,សៅរ៍,661,km,unclassified,approved,
saob,ស្អប់,211,km,unclassified,approved,
saoban,សោបាន,1,km,unclassified,approved,
saoch,សោច,1,km,unclassified,approved,
saoch,ស្អូច,4,km,unclassified,approved,
saoda,សោដា,1,km,unclassified,approved,
saoh,សោះសា,1,km,unclassified,approved,
saoh,ស្អុះ,12,km,unclassified,approved,
saohngkeuy,សោះអង្គើយ,1,km,unclassified,approved,
saohtae,សោះតែ,7,km,unclassified,approved,
saohuy,សោហ៊ុយ,2,km,unclassified,approved,
saok,ស្អក,16,km,unclassified,approved,
saoka,សោកា,1,km,unclassified,approved,
saokae,សៅកែ,1,km,unclassified,approved,
saokantor,សោកាន្ត,1,km,unclassified,approved,
saokbatraok,សោកប៉ត្រោក,1,km,unclassified,approved,
saokbotraok,សោកប៉ត្រោក,1,km,unclassified,approved,
saokei,សោកី,1,km,unclassified,approved,
saokeni,សោកិនី,1,km,unclassified,approved,
saokie,សោកៀ,1,km,unclassified,approved,
saokkrouk,សោកគ្រោក,1,km,unclassified,approved,
saokmomaok,សោកមម៉ោក,1,km,unclassified,approved,
saoknthika,សោគន្ធិកា,1,km,unclassified,approved,
saoknthikak,សោគន្ធិកៈ,1,km,unclassified,approved,
saokoantor,សោក័ន្ត,1,km,unclassified,approved,
saokrouk,សោគ្រោក,1,km,unclassified,approved,
