roman,target,freq,freq_lang,category,status,notes
kor,ក,1,km,unclassified,approved,
khor,ខ,1,km,unclassified,approved,
ban,បាន,167444,km,unclassified,approved,
barn,បាន,167444,km,unclassified,approved,
jea,ជា,131865,km,unclassified,approved,
mean,មាន,107477,km,unclassified,approved,
del,ដែល,98472,km,unclassified,approved,
neh,នេះ,98028,km,unclassified,approved,
nis,នេះ,98028,km,unclassified,approved,
nih,នេះ,98028,km,unclassified,approved,
nes,នេះ,98028,km,unclassified,approved,
nov,នៅ,89312,km,unclassified,approved,
ning,និង,81464,km,unclassified,approved,
nong,និង,81464,km,unclassified,approved,
nung,និង,81464,km,unclassified,approved,
neng,និង,81464,km,unclassified,approved,
hning,ហ្នឹង,560,km,unclassified,approved,
hnong,ហ្នឹង,560,km,unclassified,approved,
hn,ហ្នឹង,560,km,unclassified,approved,
hnung,ហ្នឹង,560,km,unclassified,approved,
hneng,ហ្នឹង,560,km,unclassified,approved,
knong,ក្នុង,71969,km,unclassified,approved,
pi,ពី,70847,km,unclassified,approved,
pina,ពីណា,14,km,unclassified,approved,
pinih,ពីនេះ,1,km,unclassified,approved,
pineh,ពីនេះ,1,km,unclassified,approved,
pinis,ពីនេះ,1,km,unclassified,approved,
pinos,ពីនោះ,1,km,unclassified,approved,
pinus,ពីនោះ,1,km,unclassified,approved,
pisakmai,ពីសម័យ,1,km,unclassified,approved,
pisamai,ពីសម័យ,1,km,unclassified,approved,
robos,របស់,70801,km,unclassified,approved,
ros,របស់,70801,km,unclassified,approved,
tha,ថា,70631,km,unclassified,approved,
ka,ការ,62277,km,unclassified,approved,
kar,ការ,62277,km,unclassified,approved,
tae,តែ,59574,km,unclassified,approved,
te,តែ,59574,km,unclassified,approved,
tte,ទេ,21228,km,unclassified,approved,
ttae,ទេ,21228,km,unclassified,approved,
muoy,មួយ,58190,km,unclassified,approved,
mouy,មួយ,58190,km,unclassified,approved,
muy,មួយ,58190,km,unclassified,approved,
ttov,ទៅ,58083,km,unclassified,approved,
tt,ទៅ,58083,km,unclassified,approved,
neak,អ្នក,52630,km,unclassified,approved,
nak,អ្នក,52630,km,unclassified,approved,
min,មិន,50167,km,unclassified,approved,
men,មិន,50167,km,unclassified,approved,
mirn,មិន,50167,km,unclassified,approved,
doy,ដោយ,48825,km,unclassified,approved,
doay,ដោយ,48825,km,unclassified,approved,
n,នឹង,45825,km,unclassified,approved,
nung,នឹង,45825,km,unclassified,approved,
neng,នឹង,45825,km,unclassified,approved,
ning,នឹង,45825,km,unclassified,approved,
