roman,target,freq,freq_lang,category,status,notes
trab,ត្រប់,15,km,unclassified,approved,
trab,ត្រាប់,47,km,unclassified,approved,
trabaekju,ត្របែកជូរ,1,km,unclassified,approved,
trabaekprey,ត្របែកព្រៃ,1,km,unclassified,approved,
trabaeng,ត្របែង,1,km,unclassified,approved,
trabaengdai,ត្របែងដៃ,1,km,unclassified,approved,
trabah,ត្របះ,1,km,unclassified,approved,
trabak,ត្របាក់,27,km,unclassified,approved,
trabakchhuk,ត្របកឈូក,1,km,unclassified,approved,
trabangbah,ត្របាំងបះ,1,km,unclassified,approved,
trabanh,ត្របាញ់,3,km,unclassified,approved,
trabaom,ត្របោម,1,km,unclassified,approved,
trabatuum,ត្រប់ទុំ,1,km,unclassified,approved,
trach,ត្រាច,25,km,unclassified,approved,
trach,ត្រាច់,3,km,unclassified,approved,
trachaeul,ត្រចើល,1,km,unclassified,approved,
trachah,ត្រចះ,1,km,unclassified,approved,
trachang,ត្រចង់,1,km,unclassified,approved,
tracheak,ត្រជាក់,1,km,unclassified,approved,
trachhey,ត្រឈៃ,1,km,unclassified,approved,
trachhueng,ត្រឈឹង,1,km,unclassified,approved,
trachiek,ត្រចៀក,1,km,unclassified,approved,
trachiekbraeus,ត្រចៀកប្រើស,1,km,unclassified,approved,
trachiekdamrey,ត្រចៀកដំរី,1,km,unclassified,approved,
trachiekkandor,ត្រចៀកកណ្ដុរ,1,km,unclassified,approved,
trachiekpnong,ត្រចៀកព្នង,1,km,unclassified,approved,
trachu,ត្រាជូ,1,km,unclassified,approved,
trachum,ត្រជំ,1,km,unclassified,approved,
tradabtraduos,ត្រដាបត្រដួស,1,km,unclassified,approved,
tradach,ត្រដាច,1,km,unclassified,approved,
tradaet,ត្រដែត,1,km,unclassified,approved,
tradaettradoem,ត្រដែតត្រដឹម,1,km,unclassified,approved,
tradak,ត្រដក់,1,km,unclassified,approved,
tradakatrasoam,ត្រដក់ត្រសុំ,1,km,unclassified,approved,
tradal,ត្រដាល់,1,km,unclassified,approved,
tradang,ត្រដាង,1,km,unclassified,approved,
tradaoh,ត្រដោះ,1,km,unclassified,approved,
tradaok,ត្រដោក,1,km,unclassified,approved,
tradaokchaungochaev,ត្រដោកជើងចែវ,1,km,unclassified,approved,
tradaokkdar,ត្រដោកក្ដារ,1,km,unclassified,approved,
tradaom,ត្រដោម,1,km,unclassified,approved,
tradar,ត្រដរ,1,km,unclassified,approved,
trade,ត្រដេ,1,km,unclassified,approved,
tradeb,ត្រដេប,1,km,unclassified,approved,
tradet,ត្រដិត,1,km,unclassified,approved,
tradev,ត្រដេវ,1,km,unclassified,approved,
tradevovich,ត្រដេវវិច,1,km,unclassified,approved,
tradoem,ត្រដឹម,1,km,unclassified,approved,
tradoeng,ត្រដឹង,1,km,unclassified,approved,
trados,ត្រដុស,1,km,unclassified,approved,
traduoch,ត្រដួច,1,km,unclassified,approved,
trae,ត្រែ,2,km,unclassified,approved,
traeah,ត្រែះ,1,km,unclassified,approved,
traek,ត្រជាក់,1,km,unclassified,approved,
traeng,ត្រែង,161,km,unclassified,approved,
traet,ត្រែតៗ,1,km,unclassified,approved,
traettrat,ត្រែតត្រត,1,km,unclassified,approved,
traettrot,ត្រែតត្រត,1,km,unclassified,approved,
traeung,ត្រើង,6,km,unclassified,approved,
traeuy,ត្រើយ,22,km,unclassified,approved,
traeuychhak,ត្រើយឆក,1,km,unclassified,approved,
traeuychhok,ត្រើយឆក,1,km,unclassified,approved,
traeuyoloy,ត្រើយលយ,1,km,unclassified,approved,
traeuytran,ត្រើយត្រាណ,1,km,unclassified,approved,
trahebtrahab,ត្រហេបត្រហប,1,km,unclassified,approved,
trai,ត្រៃ,1,km,unclassified,approved,
trai,ត្រ័យ,1,km,unclassified,approved,
traitrengsor,ត្រ័យត្រិង្ស,1,km,unclassified,approved,
trak,ត្រក,3,km,unclassified,approved,
trak,ត្រក់,1,km,unclassified,approved,
trak,ត្រាក់ៗ,1,km,unclassified,approved,
trak,ត្រៈ,1,km,unclassified,approved,
trakal,ត្រកាល,1,km,unclassified,approved,
trakang,ត្រកង,1,km,unclassified,approved,
trakeak,ត្រគាក,3,km,unclassified,approved,
trakiet,ត្រកៀត,1,km,unclassified,approved,
trakietbaong,ត្រកៀតប៉ោង,1,km,unclassified,approved,
trakoul,ត្រកូល,45,km,unclassified,approved,
traktoar,ត្រាក់ទ័រ,2,km,unclassified,approved,
traktor,ត្រាក់ទ័រ,2,km,unclassified,approved,
trakuon,ត្រកួន,1,km,unclassified,approved,
trakuonh,ត្រកួញ,1,km,unclassified,approved,
trakuonkantaek,ត្រកួនកន្ទែក,1,km,unclassified,approved,
trakuot,ត្រកួត,1,km,unclassified,approved,
tral,ត្រល់,1,km,unclassified,approved,
tralabchea,ត្រឡប់ជា,1,km,unclassified,approved,
tralach,ត្រឡាច,2,km,unclassified,approved,
tralaengkaeng,ត្រឡែងកែង,1,km,unclassified,approved,
tralak,ត្រឡក,1,km,unclassified,approved,
tralaok,ត្រឡោក,1,km,unclassified,approved,
tralay,ត្រឡាយ,1,km,unclassified,approved,
traleang,ត្រលាំង,1,km,unclassified,approved,
traleat,ត្រលាត់,1,km,unclassified,approved,
tralin,ត្រលិន,1,km,unclassified,approved,
traloam,ត្រឡុំ,1,km,unclassified,approved,
tralob,ត្រលប់,1,km,unclassified,approved,
tralong,ត្រឡុង,1,km,unclassified,approved,
traluch,ត្រលុច,1,km,unclassified,approved,
tram,ត្រាំ,316,km,unclassified,approved,
trameaeng,ត្រមែង,1,km,unclassified,approved,
tramiech,ត្រមៀច,1,km,unclassified,approved,
tramkak,ត្រាំកក់,1,km,unclassified,approved,
tramkok,ត្រាំកក់,1,km,unclassified,approved,
tramok,ត្រមក់,1,km,unclassified,approved,
tramong,ត្រមង់,1,km,unclassified,approved,
tramouch,ត្រមោច,1,km,unclassified,approved,
tramoul,ត្រមោល,1,km,unclassified,approved,
tramoung,ត្រមោង,1,km,unclassified,approved,
tramtraeng,ត្រាំត្រែង,1,km,unclassified,approved,
tramul,ត្រមុល,1,km,unclassified,approved,
tran,ត្រាណ,1,km,unclassified,approved,
tranakachett,ត្រណាក់ចិត្ត,1,km,unclassified,approved,
tranam,ត្រណម,3,km,unclassified,approved,
tranaot,ត្រណោត,1,km,unclassified,approved,
trang,ត្រង,15,km,unclassified,approved,
trang,ត្រាង,7,km,unclassified,approved,
trangaul,ត្រងើល,1,km,unclassified,approved,
trangeal,ត្រងាល,1,km,unclassified,approved,
trangil,ត្រងិល,1,km,unclassified,approved,
trangona,ត្រង់ណា,4,km,unclassified,approved,
trangoul,ត្រងោល,2,km,unclassified,approved,
tranh,ត្រាញ់,1,km,unclassified,approved,
trantraeuy,ត្រាណត្រើយ,1,km,unclassified,approved,
traok,ត្រោក,1,km,unclassified,approved,
traoksanh,ត្រោកសាញ,1,km,unclassified,approved,
traokyoul,ត្រោកយោល,1,km,unclassified,approved,
traokyul,ត្រោកយោល,1,km,unclassified,approved,
traon,ត្រឱន,1,km,unclassified,approved,
traos,ត្រោស,1,km,unclassified,approved,
trapae,ត្រប៉ែ,1,km,unclassified,approved,
trapeang,ត្រពាំង,35,km,unclassified,approved,
trapeangy,ត្រពាំងពាយ,1,km,unclassified,approved,
trapel,ត្រប៉ិល,1,km,unclassified,approved,
traping,ត្រពីង,1,km,unclassified,approved,
trapouk,ត្រពោក,1,km,unclassified,approved,
trapuen,ត្រពឹន,1,km,unclassified,approved,
tras,ត្រស់,1,km,unclassified,approved,
tras,ត្រាស់,7,km,unclassified,approved,
trasab,ត្រសាប់,1,km,unclassified,approved,
trasaet,ត្រសែត,1,km,unclassified,approved,
trasak,ត្រសក់,31,km,unclassified,approved,
trasal,ត្រសាល់,1,km,unclassified,approved,
trasang,ត្រសង,1,km,unclassified,approved,
trasaol,ត្រសោល,1,km,unclassified,approved,
trasaom,ត្រសោម,1,km,unclassified,approved,
trasay,ត្រសាយ,1,km,unclassified,approved,
trasde,ត្រស្ដិ,1,km,unclassified,approved,
traseh,ត្រសេះ,1,km,unclassified,approved,
trasiek,ត្រសៀក,1,km,unclassified,approved,
trasoam,ត្រសុំ,1,km,unclassified,approved,
trasok,ត្រសុក,1,km,unclassified,approved,
trasol,ត្រសុល,1,km,unclassified,approved,
trasos,ត្រសុស,1,km,unclassified,approved,
trasoul,ត្រសូល,1,km,unclassified,approved,
trat,ត្រតៗ,1,km,unclassified,approved,
tratae,ត្រាតែ,34,km,unclassified,approved,
trathoeang,ត្រថឿង,1,km,unclassified,approved,
trathok,ត្រថុក,1,km,unclassified,approved,
trav,ត្រាវ,6,km,unclassified,approved,
tray,ត្រាយ,117,km,unclassified,approved,
trayong,ត្រយង,1,km,unclassified,approved,
trayong,ត្រយង់,1,km,unclassified,approved,
trayung,ត្រយូង,1,km,unclassified,approved,
trayungchek,ត្រយូងចេក,1,km,unclassified,approved,
tream,ត្រៀម,2019,km,unclassified,approved,
trebedak,ត្រិបិដក,1,km,unclassified,approved,
trebedok,ត្រិបិដក,1,km,unclassified,approved,
trehris,ត្រិះរិះ,1,km,unclassified,approved,
trehtroh,ត្រេះត្រុះ,1,km,unclassified,approved,
trei,ត្រី,1429,km,unclassified,approved,
treimukh,ត្រីមុខ,1,km,unclassified,approved,
treivisai,ត្រីវិស័យ,1,km,unclassified,approved,
trek,ត្រេក,162,km,unclassified,approved,
trel,ត្រិល,1,km,unclassified,approved,
trem,ត្រឹម,5467,km,unclassified,approved,
tremmtrov,ត្រឹមត្រូវ,1,km,unclassified,approved,
tremtrov,ត្រឹមត្រូវ,1,km,unclassified,approved,
treng,ត្រេង,1,km,unclassified,approved,
trerm,ត្រឹម,5467,km,unclassified,approved,
trey,ត្រី,1429,km,unclassified,approved,
treyongsor,ត្រិយង្ស,1,km,unclassified,approved,
trieb,ត្រៀប,1,km,unclassified,approved,
triebtra,ត្រៀបត្រា,5,km,unclassified,approved,
triek,ត្រៀក,1,km,unclassified,approved,
triel,ត្រៀល,1,km,unclassified,approved,
TrinidadandTobago,ទ្រីនីដាដនិងតូបាហ្គោ,1,km,unclassified,approved,
troaal,ត្រអាល,1,km,unclassified,approved,
troaek,ត្រអេក,1,km,unclassified,approved,
troaien,ត្រអៀន,1,km,unclassified,approved,
troam,ត្រុំ,1,km,unclassified,approved,
troaok,ត្រអក,1,km,unclassified,approved,
trlob,ត្រប់,15,km,unclassified,approved,
trlob,ត្រឡប់,846,km,unclassified,approved,
trobaek,ត្របែក,2,km,unclassified,approved,
trobaekochu,ត្របែកជូរ,1,km,unclassified,approved,
trobaekprey,ត្របែកព្រៃ,1,km,unclassified,approved,
trobaeng,ត្របែង,1,km,unclassified,approved,
trobaengdai,ត្របែងដៃ,1,km,unclassified,approved,
trobah,ត្របះ,1,km,unclassified,approved,
trobak,ត្របាក់,27,km,unclassified,approved,
trobangbah,ត្របាំងបះ,1,km,unclassified,approved,
trobanh,ត្របាញ់,3,km,unclassified,approved,
trobaom,ត្របោម,1,km,unclassified,approved,
trobok,ត្របក,69,km,unclassified,approved,
trobokchhuk,ត្របកឈូក,1,km,unclassified,approved,
trobotuum,ត្រប់ទុំ,1,km,unclassified,approved,
trochaeul,ត្រចើល,1,km,unclassified,approved,
trochah,ត្រចះ,1,km,unclassified,approved,
trocheak,ត្រជាក់,1,km,unclassified,approved,
trocheakkam,ត្រចៀកកាំ,1,km,unclassified,approved,
trochhey,ត្រឈៃ,1,km,unclassified,approved,
trochhueng,ត្រឈឹង,1,km,unclassified,approved,
trochiek,ត្រចៀក,1,km,unclassified,approved,
trochiekbraeus,ត្រចៀកប្រើស,1,km,unclassified,approved,
trochiekdamri,ត្រចៀកដំរី,1,km,unclassified,approved,
trochiekkondor,ត្រចៀកកណ្ដុរ,1,km,unclassified,approved,
trochiekpnong,ត្រចៀកព្នង,1,km,unclassified,approved,
trochong,ត្រចង់,1,km,unclassified,approved,
trochum,ត្រជំ,1,km,unclassified,approved,
trod,ត្រុដ,1,km,unclassified,approved,
trodabtroduos,ត្រដាបត្រដួស,1,km,unclassified,approved,
trodach,ត្រដាច,1,km,unclassified,approved,
trodaet,ត្រដែត,1,km,unclassified,approved,
trodaettrodoem,ត្រដែតត្រដឹម,1,km,unclassified,approved,
trodal,ត្រដាល់,1,km,unclassified,approved,
trodang,ត្រដាង,1,km,unclassified,approved,
trodaoh,ត្រដោះ,1,km,unclassified,approved,
trodaok,ត្រដោក,1,km,unclassified,approved,
trodaokchaungochaev,ត្រដោកជើងចែវ,1,km,unclassified,approved,
trodaokkdar,ត្រដោកក្ដារ,1,km,unclassified,approved,
trodaom,ត្រដោម,1,km,unclassified,approved,
trode,ត្រដេ,1,km,unclassified,approved,
trode,ត្រុដិ,1,km,unclassified,approved,
trodeb,ត្រដេប,1,km,unclassified,approved,
trodet,ត្រដិត,1,km,unclassified,approved,
trodev,ត្រដេវ,1,km,unclassified,approved,
trodevovich,ត្រដេវវិច,1,km,unclassified,approved,
trodoem,ត្រដឹម,1,km,unclassified,approved,
trodoeng,ត្រដឹង,1,km,unclassified,approved,
trodok,ត្រដក់,1,km,unclassified,approved,
trodokotrosoam,ត្រដក់ត្រសុំ,1,km,unclassified,approved,
trodor,ត្រដរ,1,km,unclassified,approved,
trodos,ត្រដុស,1,km,unclassified,approved,
troduoch,ត្រដួច,1,km,unclassified,approved,
troeb,ត្រឹប,2,km,unclassified,approved,
troek,ត្រឹក,4,km,unclassified,approved,
troek,ត្រឹកៗ,1,km,unclassified,approved,
troeng,ត្រឹង,1,km,unclassified,approved,
trohebtrohob,ត្រហេបត្រហប,1,km,unclassified,approved,
trok,ត្រក,3,km,unclassified,approved,
trok,ត្រក់,1,km,unclassified,approved,
trok,ត្រុកៗ,1,km,unclassified,approved,
trokal,ត្រកាល,1,km,unclassified,approved,
