roman,target,freq,freq_lang,category,status,notes
bes,បេះ,1954,km,unclassified,approved,
besakachon,បេសកជន,1,km,unclassified,approved,
besdong,បេះដូង,1,km,unclassified,approved,
beskakamm,បេសកកម្ម,19,km,unclassified,approved,
beskokomm,បេសកកម្ម,19,km,unclassified,approved,
beskveit,ប៊ិស្គ្វីត៍,1,km,unclassified,approved,
besokochon,បេសកជន,1,km,unclassified,approved,
bet,បិត,92,km,unclassified,approved,
bet,ប៉ិត,1,km,unclassified,approved,
beta,បិតា,74,km,unclassified,approved,
betamoha,បិតាមហា,1,km,unclassified,approved,
betar,បិតរ,1,km,unclassified,approved,
betbot,ប៉ិតប៉ុត,1,km,unclassified,approved,
betei,បេតី,25,km,unclassified,approved,
betekphon,បេតិកភណ្ឌ,1,km,unclassified,approved,
betochchha,បិតុច្ឆា,1,km,unclassified,approved,
betokheat,បិតុឃាត,1,km,unclassified,approved,
betokheatakak,បិតុឃាតកៈ,1,km,unclassified,approved,
betokheateka,បិតុឃាតិកា,1,km,unclassified,approved,
betokheatokak,បិតុឃាតកៈ,1,km,unclassified,approved,
betokun,បិតុគុណ,1,km,unclassified,approved,
betoleak,បិតុលៈ,1,km,unclassified,approved,
bbetolani,បិតុលានី,1,km,unclassified,approved,
betomukh,បិទមុខ,1,km,unclassified,approved,
betong,បេតុង,118,km,unclassified,approved,
betopuon,បិទពួន,1,km,unclassified,approved,
betor,បិតរ,1,km,unclassified,approved,
beuah,បឺះ,1,km,unclassified,approved,
beub,ប៉ឺប,1,km,unclassified,approved,
beum,ប៉ឺម,1,km,unclassified,approved,
beun,ប៉ឺន,1,km,unclassified,approved,
beung,បឹង,708,km,unclassified,approved,
beung,ប៉ឺង,1,km,unclassified,approved,
beus,ប្អ៊ឹះ,1,km,unclassified,approved,
beut,បឺត,92,km,unclassified,approved,
beutbaong,ប៉ឺតប៉ោង,1,km,unclassified,approved,
bevtek,ប៊ិហ្វតិក,1,km,unclassified,approved,
bey,បី,6425,km,unclassified,approved,
beysach,បិសាច,917,km,unclassified,approved,
beyyealeak,បេយ្យាលៈ,1,km,unclassified,approved,
bg,បង,2891,km,unclassified,approved,
bgpo,បងប្អូន,8,km,unclassified,approved,
bhaab,ផ្អប,1,km,unclassified,approved,
bhaab,ផ្អាប់,29,km,unclassified,approved,
bhaaeuah,ផ្អើះ,1,km,unclassified,approved,
bhaak,ផ្អក,20,km,unclassified,approved,
bhaakaphaaeuk,ផ្អាក់ផ្អើក,1,km,unclassified,approved,
bhaakophaaeuk,ផ្អាក់ផ្អើក,1,km,unclassified,approved,
bhaakphaaeuk,ផ្អាក់ផ្អើក,1,km,unclassified,approved,
bhaang,ផ្អង,1,km,unclassified,approved,
bhaaob,ផ្អោប,1,km,unclassified,approved,
bhaaoh,ផ្អោះ,1,km,unclassified,approved,
bhaaong,ផ្អោង,1,km,unclassified,approved,
