roman,target,freq,freq_lang,category,status,notes
ttokbat,ទុកបាត្រ,1,km,unclassified,approved,
ttokkhenanubbatean,ទក្ខិណានុប្បទាន,1,km,unclassified,approved,
ttokkhenanubbotean,ទក្ខិណានុប្បទាន,1,km,unclassified,approved,
ttokkhenanutis,ទក្ខិណានុទិស,1,km,unclassified,approved,
ttokkhenaotok,ទក្ខិណោទក,1,km,unclassified,approved,
ttokkhenapoatr,ទក្ខិណាព័ត៌,1,km,unclassified,approved,
ttokkhenatean,ទក្ខិណាទាន,1,km,unclassified,approved,
ttokkhenatis,ទក្ខិណទិស,1,km,unclassified,approved,
ttokkhenavodd,ទក្ខិណាវដ្ដ,1,km,unclassified,approved,
ttokkheneyybokkol,ទក្ខិណេយ្យបុគ្គល,1,km,unclassified,approved,
ttokkheneyysambotea,ទក្ខិណេយ្យសម្បទា,1,km,unclassified,approved,
ttokkheneyysombotea,ទក្ខិណេយ្យសម្បទា,1,km,unclassified,approved,
ttokkhennikay,ទក្ខិណនិកាយ,1,km,unclassified,approved,
ttokkhenotis,ទក្ខិណទិស,1,km,unclassified,approved,
ttokoulphos,ទុកូលភស្ត្រ,1,km,unclassified,approved,
ttoksen,ទក្សិណ,5,km,unclassified,approved,
ttoksenaotok,ទក្សិណោទក,1,km,unclassified,approved,
ttol,ទល់,2733,km,unclassified,approved,
ttolangreae,ទល់អង្រែ,1,km,unclassified,approved,
ttolaongreae,ទល់អង្រែ,1,km,unclassified,approved,
ttolhabrahar,ទឡ្ហប្រហារ,1,km,unclassified,approved,
ttolhak,ទឡ្ហៈ,1,km,unclassified,approved,
ttolhakari,ទឡ្ហការី,1,km,unclassified,approved,
ttolhamitt,ទឡ្ហមិត្ត,1,km,unclassified,approved,
ttolhar,ទឡ្ហ,1,km,unclassified,approved,
ttolheikamm,ទឡ្ហីកម្ម,1,km,unclassified,approved,
ttolheikaronak,ទឡ្ហីករណៈ,1,km,unclassified,approved,
ttolheikomm,ទឡ្ហីកម្ម,1,km,unclassified,approved,
ttolheikoronak,ទឡ្ហីករណៈ,1,km,unclassified,approved,
ttolhobrohar,ទឡ្ហប្រហារ,1,km,unclassified,approved,
ttolhokari,ទឡ្ហការី,1,km,unclassified,approved,
ttolhomitt,ទឡ្ហមិត្ត,1,km,unclassified,approved,
ttolhor,ទឡ្ហ,1,km,unclassified,approved,
ttolitt,ទលិទ្ទ,1,km,unclassified,approved,
ttolittopheap,ទលិទ្ទភាព,1,km,unclassified,approved,
ttolphaak,ទល់ផ្អក,1,km,unclassified,approved,
ttolphaok,ទល់ផ្អក,1,km,unclassified,approved,
ttom,ទម,9,km,unclassified,approved,
ttomeak,ទម័ក,1,km,unclassified,approved,
ttomherng,ទំហឹង,410,km,unclassified,approved,
ttomhom,ទំហំ,1742,km,unclassified,approved,
ttomleak,ទម្លាក់,340,km,unclassified,approved,
ttomleay,ទម្លាយ,444,km,unclassified,approved,
ttomleayaakas,ទម្លាយអាកាស,1,km,unclassified,approved,
ttomleayrot,ទម្លាយរត,1,km,unclassified,approved,
ttomleaysmang,ទម្លាយស្មង,1,km,unclassified,approved,
ttomleaysmong,ទម្លាយស្មង,1,km,unclassified,approved,
ttomlorb,ទម្លាប់,687,km,unclassified,approved,
ttomluh,ទម្លុះ,169,km,unclassified,approved,
ttomnak,ទំនាក់,2699,km,unclassified,approved,
ttomne,ទំនេរ,274,km,unclassified,approved,
ttomneak,ទំនាក់,2699,km,unclassified,approved,
ttomneakttomnorng,ទំនាក់ទំនង,1,km,unclassified,approved,
ttomngun,ទម្ងន់,1311,km,unclassified,approved,
ttomnorng,ទំនង,3212,km,unclassified,approved,
ttomnotpreahnet,ទំនតព្រះនេត្រ,1,km,unclassified,approved,
ttomnuk,ទំនុក,475,km,unclassified,approved,
ttompea,ទំពា,23,km,unclassified,approved,
ttompeaek,ទំពែក,29,km,unclassified,approved,
ttompeang,ទំពាំង,120,km,unclassified,approved,
ttompeangju,ទំពាំងជូរ,1,km,unclassified,approved,
ttompear,ទំពារ,33,km,unclassified,approved,
ttompheap,ទមភាព,1,km,unclassified,approved,
ttompor,ទំព័រ,522,km,unclassified,approved,
ttompun,ទំពុន,20,km,unclassified,approved,
ttompung,ទំពូង,26,km,unclassified,approved,
ttompuoh,ទំពោះ,1,km,unclassified,approved,
ttompuon,ទំពួន,2,km,unclassified,approved,
ttomraus,ទម្រើស,1,km,unclassified,approved,
ttomrel,ទម្រេល,1,km,unclassified,approved,
ttomret,ទម្រេត,4,km,unclassified,approved,
ttomroam,ទម្រាំ,238,km,unclassified,approved,
ttomroeng,ទម្រឹង,1,km,unclassified,approved,
ttomrom,ទម្រម,1,km,unclassified,approved,
ttomron,ទម្រន់,1,km,unclassified,approved,
ttomrong,ទម្រង់,1598,km,unclassified,approved,
ttomrongkar,ទម្រង់ការ,1,km,unclassified,approved,
ttomrongsak,ទម្រង់ស័ក្តិ,1,km,unclassified,approved,
ttomror,ទម្រ,4,km,unclassified,approved,
ttomroub,ទម្រោប,1,km,unclassified,approved,
ttomroum,ទម្រោម,1,km,unclassified,approved,
ttomrud,ទម្រុឌ,1,km,unclassified,approved,
ttomrueng,ទម្រឹង,1,km,unclassified,approved,
tton,ទន់,498,km,unclassified,approved,
ttondakammoneasanea,ទណ្ឌកម្មនាសនា,1,km,unclassified,approved,
ttondar,ទណ្ឌ,240,km,unclassified,approved,
ttondkamm,ទន្តកម្ម,1,km,unclassified,approved,
ttondkar,ទន្តការ,1,km,unclassified,approved,
ttondkhead,ទណ្ឌឃាដ,1,km,unclassified,approved,
ttondkomm,ទណ្ឌកម្ម,7,km,unclassified,approved,
ttondkomm,ទន្តកម្ម,1,km,unclassified,approved,
ttondmey,ទន្តម័យ,1,km,unclassified,approved,
ttondokommoneasonea,ទណ្ឌកម្មនាសនា,1,km,unclassified,approved,
ttondor,ទណ្ឌ,240,km,unclassified,approved,
ttondpet,ទន្តពេទ្យ,1,km,unclassified,approved,
ttondtheat,ទន្តធាតុ,1,km,unclassified,approved,
ttondvechsas,ទន្តវេជ្ជសាស្ត្រ,1,km,unclassified,approved,
ttong,ទង់,184,km,unclassified,approved,
ttong,ទោង,14,km,unclassified,approved,
ttongbanghuor,ទងបង្ហួរ,1,km,unclassified,approved,
ttongbonghuor,ទងបង្ហួរ,1,km,unclassified,approved,
ttongchey,ទង់ជ័យ,1,km,unclassified,approved,
ttongdaeng,ទង់ដែង,1,km,unclassified,approved,
ttongkantrey,ទងកន្ត្រៃ,1,km,unclassified,approved,
ttongkau,ទង្គើ,1,km,unclassified,approved,
ttongkeah,ទង្គះ,1,km,unclassified,approved,
ttongkich,ទង្គិច,189,km,unclassified,approved,
ttongkonlong,ទងគន្លង,1,km,unclassified,approved,
ttongkontrey,ទងកន្ត្រៃ,1,km,unclassified,approved,
ttongkot,ទង្គត់,1,km,unclassified,approved,
ttongkoul,ទង្គោល,1,km,unclassified,approved,
ttongkueeah,ទង្គឹះ,1,km,unclassified,approved,
ttongkuk,ទង្គុក,1,km,unclassified,approved,
ttongkuum,ទង្គុំ,1,km,unclassified,approved,
ttongphchet,ទងផ្ចិត,2,km,unclassified,approved,
ttongteanh,ទង់ទាញ,1,km,unclassified,approved,
ttongtra,ទងត្រា,1,km,unclassified,approved,
ttongtrasok,ទងត្រសក់,1,km,unclassified,approved,
ttongtrau,ទងត្រៅ,1,km,unclassified,approved,
ttongtrosok,ទងត្រសក់,1,km,unclassified,approved,
ttongver,ទង្វើ,1,km,unclassified,approved,
ttonh,ទញ់,1,km,unclassified,approved,
ttonle,ទន្លេ,520,km,unclassified,approved,
ttonlea,ទន្លា,1,km,unclassified,approved,
ttonleab,ទន្លាប់,4,km,unclassified,approved,
ttonleak,ទន្លាក់,1,km,unclassified,approved,
ttonlebasak,ទន្លេបាសាក់,24,km,unclassified,approved,
ttonlebati,ទន្លេបាទី,2,km,unclassified,approved,
ttonleropov,ទន្លេរពៅ,1,km,unclassified,approved,
ttonlesab,ទន្លេសាប,34,km,unclassified,approved,
ttonlesesan,ទន្លេសេសាន,3,km,unclassified,approved,
ttonlethum,ទន្លេធំ,1,km,unclassified,approved,
ttonletouch,ទន្លេតូច,1,km,unclassified,approved,
ttonling,ទន្លីង,1,km,unclassified,approved,
ttonodei,ទន់ដី,1,km,unclassified,approved,
ttonphlon,ទន់ភ្លន់,1,km,unclassified,approved,
ttonsay,ទន្សាយ,99,km,unclassified,approved,
ttonsea,ទន្សា,1,km,unclassified,approved,
ttonseae,ទន្សែ,1,km,unclassified,approved,
ttonsong,ទន្សង,1,km,unclassified,approved,
ttonsoung,ទន្សោង,24,km,unclassified,approved,
ttonthaun,ទន្ថើន,1,km,unclassified,approved,
ttontoch,ទន្តជ,1,km,unclassified,approved,
ttontor,ទន្ត,19,km,unclassified,approved,
ttontrum,ទន្ត្រំ,1,km,unclassified,approved,
ttonttem,ទន្ទឹម,1053,km,unclassified,approved,
ttontteng,ទន្ទឹង,282,km,unclassified,approved,
ttontteng,ទន្ទេង,1,km,unclassified,approved,
ttonttenh,ទន្ទិញ,1,km,unclassified,approved,
ttonttenh,ទន្ទេញ,26,km,unclassified,approved,
ttontteum,ទន្ទឹម,1053,km,unclassified,approved,
ttontteung,ទន្ទឹង,282,km,unclassified,approved,
ttonttinh,ទន្ទិញ,1,km,unclassified,approved,
ttonttirng,ទន្ទឹង,282,km,unclassified,approved,
ttonttoam,ទន្ទាំ,1,km,unclassified,approved,
ttonttoan,ទន្ទាន់,1,km,unclassified,approved,
ttonttob,ទន្ទប,1,km,unclassified,approved,
ttonttorn,ទន្ទាន់,1,km,unclassified,approved,
ttonttream,ទន្ទ្រាម,1,km,unclassified,approved,
ttonttrean,ទន្ទ្រាន,10,km,unclassified,approved,
ttonttueng,ទន្ទឹង,282,km,unclassified,approved,
ttonttur,ទន្ទូរ,1,km,unclassified,approved,
ttopsampheara,ទព្វសម្ភារៈ,1,km,unclassified,approved,
ttopsampheareak,ទព្វសម្ភារៈ,1,km,unclassified,approved,
ttopsompheara,ទព្វសម្ភារៈ,1,km,unclassified,approved,
ttopsompheareak,ទព្វសម្ភារៈ,1,km,unclassified,approved,
ttopveak,ទព្វៈ,1,km,unclassified,approved,
ttor,ទរ,8,km,unclassified,approved,
ttork,ទក,2,km,unclassified,approved,
ttorn,ទាន់,4638,km,unclassified,approved,
ttorndit,ទណ្ឌិត,1,km,unclassified,approved,
ttorng,ទង,2449,km,unclassified,approved,
ttornkamm,ទណ្ឌកម្ម,7,km,unclassified,approved,
ttornkhead,ទណ្ឌឃាដ,1,km,unclassified,approved,
ttornvechsas,ទន្តវេជ្ជសាស្ត្រ,1,km,unclassified,approved,
ttoroulpeak,ទទួលពាក្យ,13,km,unclassified,approved,
ttorphik,ទុរភិក្ស,1,km,unclassified,approved,
ttort,ទត,5,km,unclassified,approved,
ttort,ទាត់,3011,km,unclassified,approved,
ttortbal,ទាត់បាល់,4,km,unclassified,approved,
ttorteaeng,ទទែង,1,km,unclassified,approved,
ttorteam,ទទាម,1,km,unclassified,approved,
ttortoas,ទទាស់ទទែង,1,km,unclassified,approved,
ttortoul,ទទួល,11468,km,unclassified,approved,
ttos,ទោស,965,km,unclassified,approved,
ttotaum,ទទើម,1,km,unclassified,approved,
ttotaustoteaeng,ទទើសទទែង,1,km,unclassified,approved,
ttote,ទទេ,76,km,unclassified,approved,
ttotea,ទទា,1,km,unclassified,approved,
ttoteae,ទទែ,1,km,unclassified,approved,
ttoteaeng,ទទែង,1,km,unclassified,approved,
ttoteah,ទទះ,1,km,unclassified,approved,
ttoteak,ទទាក់,1,km,unclassified,approved,
ttoteam,ទទាម,1,km,unclassified,approved,
ttotear,ទទារ,1,km,unclassified,approved,
ttotheak,ទធាក់,1,km,unclassified,approved,
ttothi,ទធិ,1,km,unclassified,approved,
ttotimtotaum,ទទីមទទើម,1,km,unclassified,approved,
ttotimtoteam,ទទីមទទាម,1,km,unclassified,approved,
ttotitotoar,ទទីទទ័រ,1,km,unclassified,approved,
ttotoar,ទទ័រ,1,km,unclassified,approved,
ttotoas,ទទាស់ទទែង,1,km,unclassified,approved,
ttotot,ទទត់,1,km,unclassified,approved,
ttotouk,ទទោក,1,km,unclassified,approved,
ttotrauk,ទទ្រើក,1,km,unclassified,approved,
ttotraut,ទទ្រើត,1,km,unclassified,approved,
ttotreaemtotrom,ទទ្រែមទទ្រម,1,km,unclassified,approved,
ttotreak,ទទ្រាក់,1,km,unclassified,approved,
ttotrettotrout,ទទ្រេតទទ្រោត,1,km,unclassified,approved,
ttotribtotreab,ទទ្រីបទទ្រាប,1,km,unclassified,approved,
ttotribtotrob,ទទ្រីបទទ្រប,1,km,unclassified,approved,
ttotrimtotrom,ទទ្រីមទទ្រម,1,km,unclassified,approved,
ttotrob,ទទ្រប,1,km,unclassified,approved,
ttotrom,ទទ្រម,1,km,unclassified,approved,
ttotrot,ទទ្រត,1,km,unclassified,approved,
ttotrueb,ទទ្រឹប,1,km,unclassified,approved,
ttottaeng,ទទែង,1,km,unclassified,approved,
ttotteang,ទទាង,1,km,unclassified,approved,
ttotteas,ទទាស,1,km,unclassified,approved,
ttotteas,ទទីស,1,km,unclassified,approved,
ttotteuk,ទទឹក,5,km,unclassified,approved,
ttotting,ទទីង,1,km,unclassified,approved,
ttottueng,ទទឹង,113,km,unclassified,approved,
ttottueng,ទទឹងទទែង,1,km,unclassified,rejected,
ttotuch,ទទូច,60,km,unclassified,approved,
ttotuem,ទទឹម,5,km,unclassified,approved,
ttotuengkeang,ទទឹងគាង,1,km,unclassified,approved,
ttotuengthngai,ទទឹងថ្ងៃ,1,km,unclassified,approved,
ttotuengtis,ទទឹងទិស,1,km,unclassified,approved,
ttotung,ទទុង,1,km,unclassified,approved,
ttotuolbbarajey,ទទួលបរាជ័យ,9,km,unclassified,approved,
ttotuolbborajey,ទទួលបរាជ័យ,9,km,unclassified,approved,
ttotuoldoeng,ទទួលដឹង,6,km,unclassified,approved,
ttotuollikhet,ទទួលលិខិត,2,km,unclassified,approved,
ttotuolmoronakpheap,ទទួលមរណភាព,303,km,unclassified,approved,
ttotuolmoronapheap,ទទួលមរណភាព,303,km,unclassified,approved,
ttotuolpeak,ទទួលពាក្យ,13,km,unclassified,approved,
ttotuolrong,ទទួលរង,88,km,unclassified,approved,
ttotuoltean,ទទួលទាន,9,km,unclassified,approved,
ttotuoltous,ទទួលទោស,12,km,unclassified,approved,
ttotuolyok,ទទួលយក,67,km,unclassified,approved,
ttotur,ទទូរ,1,km,unclassified,approved,
ttou,ទោ,99,km,unclassified,approved,
ttouchkroyean,ទោចក្រយាន,1,km,unclassified,approved,
ttouk,ទក់,24,km,unclassified,approved,
ttouk,ទូក,573,km,unclassified,approved,
ttoul,ទទួល,11468,km,unclassified,approved,
ttoul,ទួល,2413,km,unclassified,approved,
ttoul,ទោល,272,km,unclassified,approved,
ttoum,ទោម,2,km,unclassified,approved,
ttoumnoss,ទោមនស្ស,1,km,unclassified,approved,
ttoun,ទោណ,1,km,unclassified,approved,
ttoung,ទោង,14,km,unclassified,approved,
ttouphik,ទុរ្ភិក្ស,1,km,unclassified,approved,
ttour,ទោរ,7,km,unclassified,approved,
ttous,ទោះ,6984,km,unclassified,approved,
ttousak,ទោស័ក,7,km,unclassified,approved,
ttousakote,ទោសាគតិ,1,km,unclassified,approved,
ttousanutous,ទោសានុទោស,1,km,unclassified,approved,
ttousao,ទោសោ,1,km,unclassified,approved,
ttousbey,ទោះបី,1,km,unclassified,approved,
ttouscharit,ទោសចរិត,1,km,unclassified,approved,
ttouschet,ទោសចិត្ត,1,km,unclassified,approved,
ttouschorit,ទោសចរិត,1,km,unclassified,approved,
ttouskar,ទោសការណ៍,1,km,unclassified,approved,
ttousmoul,ទោសមូល,1,km,unclassified,approved,
ttousmul,ទោសមូល,1,km,unclassified,approved,
ttousnhu,ទោសញ្ញូ,1,km,unclassified,approved,
ttouspey,ទោសពៃរ៍,2,km,unclassified,approved,
ttout,ទូត,434,km,unclassified,approved,
ttoutok,ទូទុក្ខ,1,km,unclassified,approved,
ttov,ទៅ,58083,km,unclassified,approved,
