roman,target,freq,freq_lang,category,status,notes
kandabdai,កណ្ដាប់ដៃ,1,km,unclassified,approved,
kandach,កណ្ដាច,1,km,unclassified,approved,
kandach,កណ្ដាច់,1,km,unclassified,approved,
kandaengkandaoch,កណ្ដែងកណ្ដោច,1,km,unclassified,approved,
kandak,កណ្ដក់,1,km,unclassified,approved,
kandakasanhnha,កណ្ដកសញ្ញា,1,km,unclassified,approved,
kandal,កណ្ដាល,1583,km,unclassified,approved,
kandalstoeng,កណ្ដាលស្ទឹង,1,km,unclassified,approved,
kandanh,កណ្ដាញ់,1,km,unclassified,approved,
kandanh,កន្ដាញ,1,km,unclassified,approved,
kandaoch,កណ្ដោច,1,km,unclassified,approved,
kandaol,កណ្ដោល,2,km,unclassified,approved,
kandaolbat,កណ្ដោលបាត,1,km,unclassified,approved,
kandar,កណ្ដារ,1,km,unclassified,approved,
kandar,កណ្ឌ,1,km,unclassified,approved,
kandas,កណ្ដាស់,58,km,unclassified,approved,
kandeng,កណ្ដេង,1,km,unclassified,approved,
kandiekhmout,កណ្ដៀខ្មូត,1,km,unclassified,approved,
kandien,កណ្ដៀន,1,km,unclassified,approved,
kandieng,កណ្ដៀង,1,km,unclassified,approved,
kandier,កណ្ដៀរ,7,km,unclassified,approved,
kandiet,កណ្ដៀត,1,km,unclassified,approved,
kandietkaam,កណ្ដៀតក្អម,1,km,unclassified,approved,
kandiettea,កណ្ដៀទៀ,1,km,unclassified,approved,
kandiev,កណ្ដៀវ,1,km,unclassified,approved,
kandoemchhaeb,កណ្ដឹមឆែប,1,km,unclassified,approved,
kandoeng,កណ្ដឹង,2,km,unclassified,approved,
kandoenggou,កណ្ដឹងគោ,1,km,unclassified,approved,
kandok,កណ្ដុក,1,km,unclassified,approved,
kandol,កណ្ដុរ,58,km,unclassified,approved,
kandoub,កណ្ដូប,31,km,unclassified,approved,
kandoung,កណ្ដូង,1,km,unclassified,approved,
kanduoy,កណ្ដួយ,1,km,unclassified,approved,
kanekar,កណិការ,1,km,unclassified,approved,
kang,កាង,55,km,unclassified,approved,
kangea,ការងារ,4926,km,unclassified,approved,
kangha,កង្ហារ,35,km,unclassified,approved,
kanghear,កង្ហារ,35,km,unclassified,approved,
kanghech,កង្ហិច,1,km,unclassified,approved,
kanghen,កង្ហែន,1,km,unclassified,approved,
kanghich,កង្ហិច,1,km,unclassified,approved,
kangkaeb,កង្កែប,43,km,unclassified,approved,
kangkaebachko,កង្កែបអាចម៍គោ,1,km,unclassified,approved,
kangkaebbroy,កង្កែបប្រុយ,1,km,unclassified,approved,
kangkaebkaub,កង្កែបកូប,1,km,unclassified,approved,
kangkaebkoub,កង្កែបកូប,1,km,unclassified,approved,
kangkeaeb,កង្កែប,43,km,unclassified,approved,
kangkeb,កង្កែប,43,km,unclassified,approved,
kangkebachko,កង្កែបអាចម៍គោ,1,km,unclassified,approved,
kangkebbroy,កង្កែបប្រុយ,1,km,unclassified,approved,
kangkebkaub,កង្កែបកូប,1,km,unclassified,approved,
kangkebkoub,កង្កែបកូប,1,km,unclassified,approved,
kangkhaen,កង្ខើញ,1,km,unclassified,approved,
kangkhaunh,កង្ខើញ,1,km,unclassified,approved,
kangkhea,កង្ខា,1,km,unclassified,approved,
kangkheunh,កង្ខើញ,1,km,unclassified,approved,
kangkunh,កង្កុញ,1,km,unclassified,approved,
kangkuonh,កង្កួញ,1,km,unclassified,approved,
kangreach,កងរាជ,98,km,unclassified,approved,
kangveak,កង្វាក់,1,km,unclassified,approved,
kangvear,កង្វារ,1,km,unclassified,approved,
kangver,កង្វេរ,1,km,unclassified,approved,
