roman,target,freq,freq_lang,category,status,notes
brey,ប្រី,3,km,unclassified,approved,
breybray,ប្រិយប្រាយ,1,km,unclassified,approved,
breychea,ប្រីជា,1,km,unclassified,approved,
breychie,ប្រីជា,1,km,unclassified,approved,
breyopheap,ប្រិយភាព,399,km,unclassified,approved,
breypheap,ប្រិយភាព,399,km,unclassified,approved,
brieb,ប្រៀប,826,km,unclassified,approved,
briebbradoch,ប្រៀបប្រដូច,6,km,unclassified,approved,
briebbradouch,ប្រៀបប្រដូច,6,km,unclassified,approved,
briech,ប្រៀច,1,km,unclassified,approved,
brien,ប្រៀន,5,km,unclassified,approved,
bril,ប្រិល,1,km,unclassified,approved,
brinbron,ប្រិតប្រៀប,1,km,unclassified,approved,
brirh,ប្រឹះៗ,1,km,unclassified,approved,
brirthapi,ប្រឹថពី,1,km,unclassified,approved,
brirthpi,ប្រឹថពី,1,km,unclassified,approved,
brithepi,ប្រឹថពី,1,km,unclassified,approved,
brjeajun,ប្រជាជន,1970,km,unclassified,approved,
brjeapulroth,ប្រជាពលរដ្ឋ,1430,km,unclassified,approved,
brkach,ប្រកាច់,48,km,unclassified,approved,
broahphrum,ប្រោះព្រំ,1,km,unclassified,approved,
broaob,ប្រអប់,322,km,unclassified,approved,
broaob,ប្រឱប,1,km,unclassified,approved,
broaobochaung,ប្រអប់ជើង,1,km,unclassified,approved,
broas,ប្រោស,9,km,unclassified,approved,
brob,ប្រប,4,km,unclassified,approved,
brobaek,ប្របែក,1,km,unclassified,approved,
brobael,ប្របែល,1,km,unclassified,approved,
brobaoch,ប្របោច,1,km,unclassified,approved,
brobech,ប្របិច,1,km,unclassified,approved,
brobeh,ប្របេះ,1,km,unclassified,approved,
brober,ប្របេរ,1,km,unclassified,approved,
brobiet,ប្របៀត,1,km,unclassified,approved,
brobret,ប្រព្រឹត្ត,398,km,unclassified,approved,
broch,ប្រច,1,km,unclassified,approved,
broch,ប្រូច,1,km,unclassified,approved,
brochab,ប្រចាប់,1,km,unclassified,approved,
brochae,ប្រចែ,1,km,unclassified,approved,
brochaeng,ប្រចែង,1,km,unclassified,approved,
brochak,ប្រចាក់,1,km,unclassified,approved,
brocham,ប្រចាំ,4678,km,unclassified,approved,
brochaom,ប្រចោម,1,km,unclassified,approved,
brochea,ប្រជា,625,km,unclassified,approved,
brocheabrey,ប្រជាប្រិយ,42,km,unclassified,approved,
brocheacheate,ប្រជាជាតិ,115,km,unclassified,approved,
brocheajun,ប្រជាជន,1970,km,unclassified,approved,
brochean,ប្រជាន់,1,km,unclassified,approved,
brocheanureas,ប្រជានុរាស្ត្រ,1,km,unclassified,approved,
brocheapulroth,ប្រជាពលរដ្ឋ,1430,km,unclassified,approved,
brocheasvoneakar,ប្រជាសវនាការ,1,km,unclassified,approved,
brochei,ប្រចី,1,km,unclassified,approved,
brocheng,ប្រជែង,1361,km,unclassified,approved,
brochett,ប្រចិត្ត,1,km,unclassified,approved,
brochhang,ប្រឆាំង,1663,km,unclassified,approved,
brochheh,ប្រឆេះ,1,km,unclassified,approved,
brochhluoh,ប្រឈ្លោះ,1,km,unclassified,approved,
brochhnget,ប្រឆ្ងិត,1,km,unclassified,approved,
brochhuon,ប្រឈួន,1,km,unclassified,approved,
brochiech,ប្រចៀច,1,km,unclassified,approved,
brochiech,ប្រជៀច,1,km,unclassified,approved,
brochiev,ប្រចៀវ,121,km,unclassified,approved,
brochiev,ប្រជៀវ,11,km,unclassified,approved,
brochoab,ប្រជាប់,1,km,unclassified,approved,
brochoan,ប្រជាន់,1,km,unclassified,approved,
brochob,ប្រចុប,1,km,unclassified,approved,
brochoch,ប្រចច,1,km,unclassified,approved,
brochoek,ប្រចឹក,1,km,unclassified,approved,
brochorm,ប្រឈម,1107,km,unclassified,approved,
brochorn,ប្រជាន់,1,km,unclassified,approved,
brochriet,ប្រជ្រៀត,13,km,unclassified,approved,
brochruos,ប្រជ្រួស,1,km,unclassified,approved,
brochruy,ប្រជ្រុយ,32,km,unclassified,approved,
brochuob,ប្រចួប,1,km,unclassified,approved,
brochuob,ប្រជួប,1,km,unclassified,approved,
brochuon,ប្រចួន,1,km,unclassified,approved,
brochuon,ប្រជួន,1,km,unclassified,approved,
brochuos,ប្រជួស,1,km,unclassified,approved,
broda,ប្រដា,15,km,unclassified,approved,
brodab,ប្រដាប់,199,km,unclassified,approved,
brodae,ប្រដែ,1,km,unclassified,approved,
brodaeus,ប្រដើស,1,km,unclassified,approved,
brodak,ប្រដាក់,1,km,unclassified,approved,
brodakobrodeut,ប្រដាក់ប្រដឺត,1,km,unclassified,approved,
brodakobrtuk,ប្រដាក់ប្រទុក្ខ,1,km,unclassified,approved,
brodal,ប្រដាល់,648,km,unclassified,approved,
brodam,ប្រដំ,1,km,unclassified,approved,
brodambrosong,ប្រដំប្រសង,1,km,unclassified,approved,
brodan,ប្រដាន់,1,km,unclassified,approved,
brodanh,ប្រដាញ,1,km,unclassified,approved,
brodaol,ប្រដោល,1,km,unclassified,approved,
brodaot,ប្រដោត,1,km,unclassified,approved,
brodau,ប្រដៅ,22,km,unclassified,approved,
brodav,ប្រដៅ,22,km,unclassified,approved,
brodenh,ប្រដេញ,43,km,unclassified,approved,
brodet,ប្រដិត,1,km,unclassified,approved,
brodetbrochi,ប្រដិតប្រជី,1,km,unclassified,approved,
brodeut,ប្រដឺត,1,km,unclassified,approved,
brodeut,ប្រឌិដ្ឋ,1,km,unclassified,approved,
brodid,ប្រឌិដ្ឋ,1,km,unclassified,approved,
brodirt,ប្រឌិដ្ឋ,1,km,unclassified,approved,
brodith,ប្រឌិដ្ឋ,1,km,unclassified,approved,
brodoes,ប្រដឹស,2,km,unclassified,approved,
brodok,ប្រដក់,1,km,unclassified,approved,
brodongbrochea,ប្រដុងប្រជា,1,km,unclassified,approved,
brodouch,ប្រដូច,29,km,unclassified,approved,
broduet,ប្រឌិដ្ឋ,1,km,unclassified,approved,
broeah,ប្រឹះៗ,1,km,unclassified,approved,
broesthangkor,ប្រឹស្ដាង្គ,1,km,unclassified,approved,
broesthar,ប្រឹស្ឋ,1,km,unclassified,approved,
broesthor,ប្រឹស្ឋ,1,km,unclassified,approved,
broethapi,ប្រឹថពី,1,km,unclassified,approved,
broethopi,ប្រឹថពី,1,km,unclassified,approved,
brogeab,ប្រគាប,2,km,unclassified,approved,
brogen,ប្រគេន,55,km,unclassified,approved,
brogong,ប្រគង,1,km,unclassified,approved,
brogor,ប្រគរ,1,km,unclassified,approved,
brogriv,ប្រគ្រីវ,1,km,unclassified,approved,
brogul,ប្រគល់,707,km,unclassified,approved,
brogum,ប្រគំ,336,km,unclassified,approved,
broh,ប្រុះ,1,km,unclassified,approved,
broha,ប្រហារ,547,km,unclassified,approved,
brohaek,ប្រហែក,1,km,unclassified,approved,
brohael,ប្រហែល,2632,km,unclassified,approved,
brohaeng,ប្រហែង,1,km,unclassified,approved,
