roman,target,freq,freq_lang,category,status,notes
puohng,ពោះពុង,1,km,unclassified,approved,
puohombaeng,ពោះអំបែង,1,km,unclassified,approved,
puohpleanh,ពោះភ្លាញ,1,km,unclassified,approved,
puohsommrok,ពោះសម្រក,1,km,unclassified,approved,
puohthom,ពោះធំ,7,km,unclassified,approved,
puohtoteh,ពោះទទេ,21,km,unclassified,approved,
puohvean,ពោះវៀន,1,km,unclassified,approved,
puokke,ពួកគេ,35,km,unclassified,approved,
puokkeat,ពួកគាត់,30,km,unclassified,approved,
puokvea,ពួកវា,6,km,unclassified,approved,
puon,ពួន,46,km,unclassified,approved,
puor,ពួរ,109,km,unclassified,approved,
puot,ពួត,3,km,unclassified,approved,
puotang,ពោះតាំង,1,km,unclassified,approved,
puoy,ពួយ,66,km,unclassified,approved,
pupil,សិស្សានុសិស្ស,145,km,unclassified,approved,
pur,ពុរ,1,km,unclassified,approved,
pureang,ពូរាង,1,km,unclassified,approved,
pursat,ពោធិ៍សាត់,1,km,unclassified,approved,
pus,ពស់,394,km,unclassified,approved,
put,ពុត,47,km,unclassified,approved,
put,ពុធ,528,km,unclassified,approved,
put,ពូត,5,km,unclassified,approved,
puth,ពុធ,528,km,unclassified,approved,
puthau,ពូថៅ,1,km,unclassified,approved,
puthochon,ពុធជន,1,km,unclassified,approved,
putkal,ភូតកាល,1,km,unclassified,approved,
putlomnhong,ពុតលំញង,1,km,unclassified,approved,
putlumnhong,ពុតលំញង,1,km,unclassified,approved,
putrea,ពុទ្រា,5,km,unclassified,approved,
putth,ពុទ្ធ,100,km,unclassified,approved,
putthacheat,ពុទ្ធជាត,1,km,unclassified,approved,
putthi,ពុទ្ធិ,10,km,unclassified,approved,
putthicharit,ពុទ្ធិចរិត,1,km,unclassified,approved,
putthika,ពុទ្ធិក,6,km,unclassified,approved,
putthipruetthor,ពុទ្ធិព្រឹទ្ធ,1,km,unclassified,approved,
putthiviblleas,ពុទ្ធិវិបល្លាស,1,km,unclassified,approved,
putthkhousak,ពុទ្ធឃោសៈ,1,km,unclassified,approved,
putthle,ពុតធ្លេ,1,km,unclassified,approved,
puttho,ពុទ្ធោ,1,km,unclassified,approved,
putthou,ពុទ្ធោ,1,km,unclassified,approved,
putthouveat,ពុទ្ធោវាទ,1,km,unclassified,approved,
putthoveit,ពុទ្ធោវាទ,1,km,unclassified,approved,
putthubbat,ពុទ្ធុប្បាទ,1,km,unclassified,approved,
puumche,ពុំចេរ,1,km,unclassified,approved,
puumchukal,ពុំជូកាល,1,km,unclassified,approved,
puumngea,ពុំងា,1,km,unclassified,approved,
puumnuoh,ពុំនោះ,1,km,unclassified,approved,
puumsaen,ពុំសែន,1,km,unclassified,approved,
pvoatesas,ប្រវត្តិសាស្ត្រ,52,km,unclassified,approved,
pvottesas,ប្រវត្តិសាស្ត្រ,52,km,unclassified,approved,
pyak,ព្យគ្ឃ,1,km,unclassified,approved,
pyat,ប្រយ័ត្ន,823,km,unclassified,approved,
pyeabal,ព្យាបាល,159,km,unclassified,approved,
pyeabar,ព្យាបារ,1,km,unclassified,approved,
pyeabat,ព្យាបទ,1,km,unclassified,approved,
pyeabat,ព្យាបាទ,1,km,unclassified,approved,
pyeabot,ព្យាបទ,1,km,unclassified,approved,
pyeadsatv,ព្យាឌសត្វ,1,km,unclassified,approved,
pyeak,ព្យគ្ឃ,1,km,unclassified,approved,
pyeakar,ព្យាករ,17,km,unclassified,approved,
pyeakaron,ព្យាករណ៍,139,km,unclassified,approved,
pyeakor,ព្យាករ,17,km,unclassified,approved,
pyeakoron,ព្យាករណ៍,139,km,unclassified,approved,
pyeakroete,ព្យាក្រឹតិ,1,km,unclassified,approved,
pyeam,ព្យាម,2,km,unclassified,approved,
