roman,target,freq,freq_lang,category,status,notes
sopvotae,សព្វតែ,2,km,unclassified,approved,
sapvothngai,សព្វថ្ងៃ,1,km,unclassified,approved,
sopvothngai,សព្វថ្ងៃ,1,km,unclassified,approved,
sapvoneam,សព្វនាម,1,km,unclassified,approved,
sopvoneam,សព្វនាម,1,km,unclassified,approved,
sapvobaeu,សព្វបើ,1,km,unclassified,approved,
sopvobaeu,សព្វបើ,1,km,unclassified,approved,
sapvomukh,សព្វមុខ,3,km,unclassified,approved,
sopvomukh,សព្វមុខ,3,km,unclassified,approved,
saphea,សភា,190,km,unclassified,approved,
sophea,សភា,190,km,unclassified,approved,
sapheak,សភាគ,3,km,unclassified,approved,
sapheachon,សភាជន,1,km,unclassified,approved,
sapheap,សភាព,697,km,unclassified,approved,
sakpheapkar,សភាពការណ៍,22,km,unclassified,approved,
sapheapkar,សភាពការណ៍,22,km,unclassified,approved,
sampheareak,សំភារៈ,43,km,unclassified,approved,
sapheaveak,សភាវៈ,1,km,unclassified,approved,
sopheaveak,សភាវៈ,1,km,unclassified,approved,
samphi,សំភី,1,km,unclassified,approved,
samphour,សំភោរ,1,km,unclassified,approved,
som,សម,2597,km,unclassified,approved,
somor,សម៉,1,km,unclassified,approved,
sormor,សម៉,1,km,unclassified,approved,
samokk,សមគ្គ,1,km,unclassified,approved,
somokk,សមគ្គ,1,km,unclassified,approved,
samoknea,សមគ្នា,25,km,unclassified,approved,
somoknea,សមគ្នា,25,km,unclassified,approved,
samochea,សមជា,4,km,unclassified,approved,
somochea,សមជា,4,km,unclassified,approved,
samochch,សមជ្ជ,1,km,unclassified,approved,
somochch,សមជ្ជ,1,km,unclassified,approved,
samochchea,សមជ្ជា,1,km,unclassified,approved,
somochchea,សមជ្ជា,1,km,unclassified,approved,
samonhnhea,សមញ្ញា,1,km,unclassified,approved,
somonhnhea,សមញ្ញា,1,km,unclassified,approved,
samon,សមណ,1,km,unclassified,approved,
somon,សមណ,1,km,unclassified,approved,
samonakoutam,សមណគោតម,1,km,unclassified,approved,
somonokoutom,សមណគោតម,1,km,unclassified,approved,
samonasakde,សមណសក្ដិ,1,km,unclassified,approved,
somonosokde,សមណសក្ដិ,1,km,unclassified,approved,
samonei,សមណី,1,km,unclassified,approved,
somonei,សមណី,1,km,unclassified,approved,
samonottmeaphisek,សមណុត្តមាភិសេក,1,km,unclassified,approved,
somonottmeaphisek,សមណុត្តមាភិសេក,1,km,unclassified,approved,
samonottes,សមណុទ្ទេស,1,km,unclassified,approved,
somonottes,សមណុទ្ទេស,1,km,unclassified,approved,
samonaokruo,សមណោគ្រួ,1,km,unclassified,approved,
somonaokruo,សមណោគ្រួ,1,km,unclassified,approved,
samotolyor,សមតុល្យ,20,km,unclassified,approved,
somotolyor,សមតុល្យ,20,km,unclassified,approved,
somtae,សមតែ,2,km,unclassified,approved,
somte,សមតែ,2,km,unclassified,approved,
somotae,សមតែ,2,km,unclassified,approved,
samotthar,សមត្ថ,1,km,unclassified,approved,
somotthor,សមត្ថ,1,km,unclassified,approved,
samatkech,សមត្ថកិច្ច,1759,km,unclassified,approved,
samatpheap,សមត្ថភាព,2416,km,unclassified,approved,
samatpeap,សមត្ថភាព,2416,km,unclassified,approved,
samoth,សមថ,1,km,unclassified,approved,
somoth,សមថ,1,km,unclassified,approved,
samothor,សមធម៌,5,km,unclassified,approved,
somothor,សមធម៌,5,km,unclassified,approved,
samonthokar,សមន្ធការ,1,km,unclassified,approved,
somonthokar,សមន្ធការ,1,km,unclassified,approved,
samopromot,សមព្រមត់,1,km,unclassified,approved,
somopromot,សមព្រមត់,1,km,unclassified,approved,
samopheap,សមភាព,21,km,unclassified,approved,
somopheap,សមភាព,21,km,unclassified,approved,
samophihar,សមភិហារ,1,km,unclassified,approved,
somophihar,សមភិហារ,1,km,unclassified,approved,
sai,សម័យ,1594,km,unclassified,approved,
somai,សម័យ,1594,km,unclassified,approved,
somay,សម័យ,1594,km,unclassified,approved,
samoyutthor,សមយុទ្ធ,44,km,unclassified,approved,
somoyutthor,សមយុទ្ធ,44,km,unclassified,approved,
samor,សមរ,45,km,unclassified,approved,
somor,សមរ,45,km,unclassified,approved,
samorophumi,សមរភូមិ,31,km,unclassified,approved,
somorophumi,សមរភូមិ,31,km,unclassified,approved,
samoromyor,សមរម្យ,29,km,unclassified,approved,
somoromyor,សមរម្យ,29,km,unclassified,approved,
samoreatrei,សមរាត្រី,7,km,unclassified,approved,
somoreatrei,សមរាត្រី,7,km,unclassified,approved,
samoveay,សមវាយ,1,km,unclassified,approved,
somoveay,សមវាយ,1,km,unclassified,approved,
samosanhnhea,សមសញ្ញា,1,km,unclassified,approved,
somosonhnhea,សមសញ្ញា,1,km,unclassified,approved,
somsuon,សមសួន,2,km,unclassified,approved,
somosuon,សមសួន,2,km,unclassified,approved,
samosaem,សមសែម,1,km,unclassified,approved,
somosaem,សមសែម,1,km,unclassified,approved,
samaktarodthar,សមាគតរដ្ឋ,1,km,unclassified,approved,
somaktorodthor,សមាគតរដ្ឋ,1,km,unclassified,approved,
samakom,សមាគម,138,km,unclassified,disabled,duplicate runtime key from initial split; review before re-enabling
somakom,សមាគម,138,km,unclassified,approved,
samachar,សមាចារ,1,km,unclassified,approved,
somachar,សមាចារ,1,km,unclassified,approved,
samach,សមាជ,5,km,unclassified,approved,
somach,សមាជ,5,km,unclassified,approved,
samachik,សមាជិក,3108,km,unclassified,approved,
samajek,សមាជិក,3108,km,unclassified,approved,
samajerk,សមាជិក,3108,km,unclassified,approved,
sameachika,សមាជិកា,3,km,unclassified,approved,
somachika,សមាជិកា,3,km,unclassified,approved,
samatean,សមាទាន,1,km,unclassified,approved,
somatean,សមាទាន,1,km,unclassified,approved,
samathean,សមាធាន,1,km,unclassified,approved,
somathean,សមាធាន,1,km,unclassified,approved,
samathi,សមាធិ,65,km,unclassified,approved,
somathi,សមាធិ,65,km,unclassified,approved,
saman,សមាន,1,km,unclassified,approved,
soman,សមាន,1,km,unclassified,approved,
samabtte,សមាបត្តិ,1,km,unclassified,approved,
somabtte,សមាបត្តិ,1,km,unclassified,approved,
samameatrar,សមាមាត្រ,26,km,unclassified,approved,
somameatror,សមាមាត្រ,26,km,unclassified,approved,
samayouk,សមាយោគ,1,km,unclassified,approved,
somayouk,សមាយោគ,1,km,unclassified,approved,
samaromphor,សមារម្ភ,1,km,unclassified,approved,
somaromphor,សមារម្ភ,1,km,unclassified,approved,
samas,សមាស,202,km,unclassified,approved,
somas,សមាស,202,km,unclassified,approved,
sameasoat,សមាស័ទ,1,km,unclassified,approved,
someasoat,សមាស័ទ,1,km,unclassified,approved,
sameahetchet,សមាហិតចិត្ត,1,km,unclassified,approved,
someahetchet,សមាហិតចិត្ត,1,km,unclassified,approved,
sameahetjet,សមាហិតចិត្ត,1,km,unclassified,approved,
someahetjet,សមាហិតចិត្ត,1,km,unclassified,approved,
samit,សមិត,1,km,unclassified,approved,
somit,សមិត,1,km,unclassified,approved,
samite,សមិតិ,1,km,unclassified,approved,
somite,សមិតិ,1,km,unclassified,approved,
